"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Book title","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Journal Article","Friedrich A,Jonkmann K,Nagengast B,Schmitz B,Trautwein U","","Teachers' and students' perceptions of self-regulated learning and math competence: Differentiation and agreement","Learning and Individual Differences","2013","27","","26-34","","","","2013","","1041-6080","https://www.sciencedirect.com/science/article/pii/S1041608013000800;http://dx.doi.org/10.1016/j.lindif.2013.06.005","10.1016/j.lindif.2013.06.005","Teachers' diagnostic competence is a crucial determinant of their teaching quality. However, prior research has indicated only a moderate association between teachers' and students' assessments of students' competence/self-concept and motivation. Furthermore, it is unclear how well teachers are able to differentiate between students' overall competence and other competence-relevant characteristics. The present article therefore investigated teachers' and students' perceptions of math competence/self-concept and two aspects of self-regulated learning (preactional and actional strategies), using a sample of 73 teachers and their fifth-grade students (N=1289). Exploratory structural equation modeling revealed three-factor solutions, indicating that both teachers and students differentiated between the assumed self-regulated learning factors and math competence/self-concept. Latent correlations between teachers' and students' perceptions were small to moderate; their assessments of students' math competence/self-concept showed the highest agreement. The findings are discussed with respect to their implications for assessing and improving teachers' diagnostic competence of students' learning.","Teacher assessment, Diagnostic competence, Self-regulated learning, Math competence, Self-concept","",""
"Journal Article","Seuntjens TG,Zeelenberg M,van de Ven N,Breugelmans SM","","Greedy bastards: Testing the relationship between wanting more and unethical behavior","Personality and Individual Differences","2019","138","","147-156","","","","2019","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886918305130;http://dx.doi.org/10.1016/j.paid.2018.09.027","10.1016/j.paid.2018.09.027","Greed is often seen as immoral. Although the assumption that greed elicits unethical behavior is widespread, there is surprisingly little empirical research testing this relationship. We present a series of three studies investigating the association between greed and unethical behavior, using different methodologies and samples from the USA, The Netherlands, and Belgium. Study 1 (3 samples, total N = 3413) reveals that more greedy individuals find a variety of transgressions more acceptable and justifiable as well as indicate that they have more often engaged in a variety of transgressions compared to less greedy individuals. Study 2 (N = 172) replicated these findings in an incentivized behavioral laboratory study where participants decided to accept a bribe or not. Greedy people were more likely to take a bribe and also preferred higher bribes. Study 3 (N = 302) examined a potential process relating greed to unethical behavior. Greedy people were more likely to transgress because they found the positive outcomes associated with the transgression more desirable, and therefore displayed lower self-control. Implications for general theories of greed and morality are discussed.","Greed, Dispositional Greed Scale, Unethical behavior, Morality, Self-control","",""
"Journal Article","Assi GS","","Dangerous driving propensity amongst Indian youth","Transportation Research Part F: Traffic Psychology and Behaviour","2018","56","","444-452","","","","2018","","1369-8478","https://www.sciencedirect.com/science/article/pii/S1369847817301055;http://dx.doi.org/10.1016/j.trf.2018.05.016","10.1016/j.trf.2018.05.016","The aim of the present investigation was to study the role of sensation-seeking and impulsiveness in propensity towards dangerous driving. For this purpose, a sample of four hundred young drivers between the age group of 18–23 years was assessed on measures of sensation-seeking, impulsiveness and dangerous driving. The sample was further classified into male and female drivers. The constructs of sensation-seeking and impulsiveness were studied through their components or sub-scales. Therefore, sensation-seeking was assessed with its sub-scales of boredom susceptibility, experience seeking, disinhibition and thrill and adventure seeking while impulsiveness was gauged through attentional, motor and non-planning impulsiveness. The statistical analysis of correlation was performed to assess relationships amongst variables with stepwise multiple regression analysis for prediction of dangerous driving. The results of present investigation revealed positive correlations between all the variables assessed on the overall sample and amongst the groups of male and female drivers. Through regression analysis on the overall sample, disinhibition emerged to be the major predictor showing maximum variance followed by motor impulsiveness, attentional impulsiveness, non-planning impulsiveness and thrill and adventure seeking. Amongst male drivers, motor impulsiveness showed maximum variance for dangerous driving followed by disinhibition, attentional impulsiveness and non-planning impulsiveness. However, amongst female drivers, disinhibition was found to be the major predictor for dangerous driving having maximum variance followed by motor impulsiveness and attentional impulsiveness. The study gives a psychological insight into the dangerous driving behaviour of young drivers. These issues are therefore of grave concern especially for the drivers in India with its increasing young population, growing number of vehicles on roads, incidence of road rage, fatalities and like.","Dangerous driving, Sensation-seeking, Impulsiveness, India, Youth","",""
"Journal Article","Galla BM,Plummer BD,White RE,Meketon D,D'Mello SK,Duckworth AL","","The Academic Diligence Task (ADT): assessing individual differences in effort on tedious but important schoolwork","Contemporary Educational Psychology","2014","39","4","314-325","","","","2014","","0361-476X","https://www.sciencedirect.com/science/article/pii/S0361476X14000502;http://dx.doi.org/10.1016/j.cedpsych.2014.08.001","10.1016/j.cedpsych.2014.08.001","The current study reports on the development and validation of the Academic Diligence Task (ADT), designed to assess the tendency to expend effort on academic tasks which are tedious in the moment but valued in the long-term. In this novel online task, students allocate their time between solving simple math problems (framed as beneficial for problem solving skills) and, alternatively, playing Tetris or watching entertaining videos. Using a large sample of high school seniors (N = 921), the ADT demonstrated convergent validity with self-report ratings of Big Five conscientiousness and its facets, self-control and grit, as well as discriminant validity from theoretically unrelated constructs, such as Big Five extraversion, openness, and emotional stability, test anxiety, life satisfaction, and positive and negative affect. The ADT also demonstrated incremental predictive validity for objectively measured GPA, standardized math and reading achievement test scores, high school graduation, and college enrollment, over and beyond demographics and intelligence. Collectively, findings suggest the feasibility of online behavioral measures to assess noncognitive individual differences that predict academic outcomes.","Academic diligence, Self-control, Grit, Assessment, Academic performance, Validation","",""
"Journal Article","Groß D","","In the self-control and self-regulation maze: Integration and importance","Personality and Individual Differences","2021","175","","110728","","","","2021","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886921001033;http://dx.doi.org/10.1016/j.paid.2021.110728","10.1016/j.paid.2021.110728","Self-control and self-regulation can be seen as core aspects of adaptive human behavior, which are studied, largely in parallel, in the field of social, health, personality, cognitive, and developmental psychology. This review tries to firstly bring and review the different research directions together and shows the importance of self-control and self-regulation for present and future success in life by focusing on the marshmallow experiment, different self-control and self-regulation measurements like trait and state self-control, executive functions, heart rate variability, personality, and theories which combine control capacity and control motivation to predict self-control. Moreover, also the associations between different self-control and self-regulation variables are in the focus of this review.","Self-regulation, Self-control, Executive functions, Heart rate variability, Personality","",""
"Journal Article","Beaton AM,Dovidio JF,LeBlanc J","","Traditional prejudice and justice judgments: Does bias suppression moderate the relationship?","Personality and Individual Differences","2011","51","5","579-583","","","","2011","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886911002522;http://dx.doi.org/10.1016/j.paid.2011.05.022","10.1016/j.paid.2011.05.022","This research investigated how the relationship between prejudice and intergroup inequalities with justice judgments is modulated by individual differences in self-regulation of bias through suppression. The first study conducted among 170 White British adolescents revealed that the link between racism and intergroup inequality in justice judgments was moderated by bias suppression. Prejudice, bias suppression, and blatant as well as subtle justice judgments were assessed in a second study carried out with 103 Canadian White adolescents. Bias suppression moderated the link between racist beliefs toward Aboriginals and intergroup inequality in punitive rulings. Racism translated into intergroup inequality in the potential for rehabilitation, irrespective of the level of bias suppression. The role of bias suppression is discussed.","Prejudice, Justice, Bias suppression","",""
"Journal Article","Fonteyne L,Duyck W,De Fruyt F","","Program-specific prediction of academic achievement on the basis of cognitive and non-cognitive factors","Learning and Individual Differences","2017","56","","34-48","","","","2017","","1041-6080","https://www.sciencedirect.com/science/article/pii/S1041608017300997;http://dx.doi.org/10.1016/j.lindif.2017.05.003","10.1016/j.lindif.2017.05.003","Choosing a suitable study program is one of the factors that facilitates academic achievement and thus prevents drop-out in the first year of tertiary education. This requires adequate information on both the individual abilities and the environment during the study choice process. The SIMON (Study Skills and Interest MONitor) project of Ghent University, Belgium, provides this information to prospective students through an online tool that informs them a) on the match between their interests and study programs and b) about their personal chances of success in specific study programs. The current study intends to validate the prediction of program-specific chances of success by examining a) the (incremental) predictive validity of cognitive and non-cognitive variables of conscientiousness, motivation, self-efficacy, metacognition and test anxiety and b) the differential predictive power of variables within and across study programs. In addition, a path model with structural relations between variables was tested. The sample consisted of 2391 new incoming students. Results supported the incremental validity of non-cognitive factors. Achievement could be predicted by cognitive and background factors and by conscientiousness, self-efficacy and test anxiety. Moreover, the predictive power of variables varied across study programs, which suggests that research findings about the prediction of academic achievement might benefit from taking into account the specific program context. Practical implications for research and (educational program choice) counselling of students are discussed.","Educational program choice, Differential predictive validity, Program specific prediction, Higher education academic achievement, Non-cognitive assessment","",""
"Journal Article","Oi K","","Does degree completion improve non-cognitive skills during early adulthood and adulthood?","Journal of Adolescence","2019","71","","50-62","","","","2019","","0140-1971","https://www.sciencedirect.com/science/article/pii/S0140197118302082;http://dx.doi.org/10.1016/j.adolescence.2018.12.001","10.1016/j.adolescence.2018.12.001","Introduction Non-cognitive skills, particularly in terms of risk-aversion, future-orientation, and conscientiousness, grow with age, and this phenomenon is known as personality maturation. However, significant variability in maturation among individuals exists. The technology of cognitive/non-cognitive skill formation suggests that the growth of non-cognitive skills is contingent on cognitive skills or human capital in general. The completion of formal education is a quintessential form of human capital. The aim of this study is to test whether formal education indeed facilitates the improvement of non-cognitive skills during early adulthood and adulthood.] Methods I used data from the National Longitudinal Study of Adolescent to Adult Health. The study sample consists of 9291 individuals, representative of U.S. adolescents in grades 7 through 12 in 1994. The longitudinal design of the data allowed the repeated measurement of their non-cognitive skills in adolescence (age 25). I used Latent Score Difference modeling to examine whether advancement in formal education through degree completion predicts within-individual change in non-cognitive skills in early adulthood and adulthood. Results A steady increase in non-cognitive skills beyond adolescence was found. Independently of academic engagement during high school, parental socio-economic status, and adolescent non-cognitive skills, degree completion reported in early adulthood coincides with gains in non-cognitive skills since adolescence, and this positive feedback repeats itself in adulthood. Conclusions Continued schooling facilitates personality maturation beyond adolescence. Given the profound effects of non-cognitive skills on various life outcomes, educational opportunities could alleviate social stratification.","Education, Personality, Adolescence, Life course, Longitudinal analysis","",""
"Journal Article","Samuel RD,Englert C,Zhang Q,Basevitch I","","Hi ref, are you in control? Self-control, ego-depletion, and performance in soccer referees","Psychology of Sport and Exercise","2018","38","","167-175","","","","2018","","1469-0292","https://www.sciencedirect.com/science/article/pii/S1469029217307355;http://dx.doi.org/10.1016/j.psychsport.2018.06.009","10.1016/j.psychsport.2018.06.009","Objectives Soccer referees are challenged by physiological, professional, and mental demands which require them to exercise self-control for optimal performance. We applied the strength model of self-control (e.g., Baumeister & Vohs, 2016; Baumeister et al., 1998) to examine the relationship between self-control strength and performance in real matches. Design and methods Sixteen soccer referees (M age = 30.06 yrs, SD = 7.38) completed a trait self-control scale. Then, over 2–4 matches they completed measures of daily hassles prior to the match and state self-control prior to and after the match. Personal, situational and performance indices were also collected. Data were analyzed using several statistical procedures, including hierarchical linear modeling. Results The referees exhibited higher levels of trait self-control compared with professional soccer players and the general population. Their state self-control scores were also high. A noticeable decrease (10% or more) in state self-control strength (i.e., ego depletion) was evident in almost half of the matches. Experience of daily hassles and travel time to the match were related to lower pre-match self-control. Ego depletion was associated with self-reported match difficulty and was negatively related to self-rated match performance. Conclusions The findings are in line with previous studies and the strength model of self-control, highlighting the importance of self-control strength in soccer refereeing. Practitioners and Referee Unions should support referees in planning match day routines to maintain self-control strength.","State self-control, Trait self-control, Daily hassles, Officials, Football","",""
"Journal Article","Liu QQ,Zhou ZK,Yang XJ,Kong FC,Sun XJ,Fan CY","","Mindfulness and sleep quality in adolescents: Analysis of rumination as a mediator and self-control as a moderator","Personality and Individual Differences","2018","122","","171-176","","","","2018","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886917306372;http://dx.doi.org/10.1016/j.paid.2017.10.031","10.1016/j.paid.2017.10.031","Previous studies have documented that mindfulness was positively correlated with favorable sleep quality, however, the underlying mechanisms are largely unknown. The present study examined the mediating role of rumination and the moderating role of self-control in the association between mindfulness and sleep quality. A sample of 1196 adolescents completed a battery of self-report questionnaires measuring mindfulness, rumination, self-control and sleep quality as well as demographic information. Results showed that, in addition to the negative link between mindfulness and poor sleep quality, mindfulness was negatively associated with rumination, which in turn was positively associated with poor sleep quality. The direct link between mindfulness and poor sleep quality and the indirect link through rumination were both moderated by self-control. These two effects were stronger for adolescents with low self-control than for those with high self-control. These results coincide with the antagonistic interaction hypothesis of the protective-protective model, and indicate that mindfulness and self-control, as two important protective factors of adolescents, may mutually compensate. Limitations and implications are discussed.","Mindfulness, Sleep quality, Rumination, Self-control, Adolescents","",""
"Journal Article","Alexandra V","","The role of social worldviews and self-control in moral disengagement","Personality and Individual Differences","2019","143","","74-79","","","","2019","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886919300868;http://dx.doi.org/10.1016/j.paid.2019.02.012","10.1016/j.paid.2019.02.012","Drawing from social cognitive theory and research on social worldviews and self-control, this study examines the relationships between five universally endorsed social worldviews and moral disengagement, and the role of self-control trait as a moderator in these relationships. Using data collected from 204 business professionals, this study found that social cynicism and fate control worldviews were positively related to moral disengagement, while social complexity and reward for application worldviews were negatively related to moral disengagement. Furthermore, the effects of social cynicism, fate control, and social complexity worldviews on moral disengagement were stronger for individuals lower on self-control trait and not significant for individuals higher on self-control trait. Implications for research and practice are discussed.","Social worldviews, Moral disengagement, Self-control","",""
"Journal Article","Mathes EW,Lane DJ,Helmers BR,Jamnik MR,Hendrickson M,Aleshire B","","The dark side of self-control: High self-control leads to better outcomes when engaging in bad behaviors","Personality and Individual Differences","2017","105","","326-329","","","","2017","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886916310339;http://dx.doi.org/10.1016/j.paid.2016.10.005","10.1016/j.paid.2016.10.005","","Self-control, Antisocial behavior, Punishment evasion","",""
"Journal Article","Chang YC,Chang YT,Chang HY,Feng JY","","Effects of academic performance on the relationship between child maltreatment and deviant behavior: A national study in Taiwan","Child Abuse & Neglect","2019","98","","104224","","","","2019","","0145-2134","https://www.sciencedirect.com/science/article/pii/S0145213419304016;http://dx.doi.org/10.1016/j.chiabu.2019.104224","10.1016/j.chiabu.2019.104224","Background Child maltreatment has been found to significantly increase the risk of deviant behavior. Academic performance has been shown to have an indirect effect on the relationship between child maltreatment and deviant behavior. However, not all adolescents who have been maltreated engage in deviant behavior, so the relationship between child maltreatment and deviant behavior has remained unclear. Objective The aim of this research was to examine the potential mediating and/or moderating effects of academic performance on the relationship between child maltreatment and deviant behavior. Participants and setting The data in this study were from a nationwide study examining the consequences of childhood maltreatment in Taiwan. The database consisted of data from 2321 adolescents. Methods A secondary data analysis was conducted. Self-report data were obtained on childhood maltreatment experiences, academic performance, and deviant behaviors. Path analyses and a generalized linear model were used to examine the effects of academic performance on the relationship between child maltreatment and deviant behavior. Results Most participants were male (61.4%), with a mean age of 15.9 years. The mean scores of self-rated academic performance and deviant behavior were 2.86 and 8.2, respectively. A total of 83% participants reported having experienced childhood maltreatment. In this study, academic performance was found to have a moderating rather than a mediating effect on the relationship between child maltreatment and deviant behavior. Among adolescents who had been maltreated during childhood, those who self-rated poorer academic performance were more likely to have a higher deviant behavior score than those who self-rated better academic performance. Conclusions Good academic performance can be a buffer that reduces the risk of deviant behavior among individuals with a history of childhood maltreatment. Healthcare professionals and educators can tailor early prevention and intervention educational programs targeted toward adolescents with experience of childhood abuse or poor academic performance to prevent the incidence of deviant behavior and thus break the cycle of violence.","Academic performance, Child maltreatment, Deviant behavior","",""
"Journal Article","Resch HL,Lord CG","","Individual differences in using epistemic and teleologic strategies for deliberate self-persuasion","Personality and Individual Differences","2011","50","5","615-620","","","","2011","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886910005891;http://dx.doi.org/10.1016/j.paid.2010.12.005","10.1016/j.paid.2010.12.005","Some theorists have suggested that people can change their own attitudes simply by thinking differently about the attitude object. Maio and Thomas (2007) identified two distinct types of cognitive strategies for such deliberate self-persuasion. Epistemic strategies involve re-conceptualizing the attitude object’s known shortcomings in a more positive light. Teleologic strategies involve altering the accessibility of thoughts about those shortcomings. The present research showed that people can be taught to use these strategies effectively, but that the benefits are moderated by individual differences. Both epistemic and teleologic strategies are more effective for individuals high than low in need for cognition, and teleologic strategies are less effective than epistemic strategies for individuals low than high in self-control. The results show how Maio and Thomas’ (2007) strategies might be applied to important current attitudes, and extend knowledge of two important individual difference constructs.","Attitude change, Self-persuasion, Need for cognition, Self-control","",""
"Journal Article","Keatley DA,Allom V,Mullan B","","The effects of implicit and explicit self-control on self-reported aggression","Personality and Individual Differences","2017","107","","154-158","","","","2017","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886916311461;http://dx.doi.org/10.1016/j.paid.2016.11.046","10.1016/j.paid.2016.11.046","Aggression and violence have a large impact on society. Researchers have highlighted the need to incorporate impulsive processes into models of aggression. The current research is the first to investigate the role of self-control, measured by both explicit questionnaires and an implicit association test, on trait aggression. Results indicated that higher levels of implicit self-control were associated with lower levels of anger, and physical and verbal aggression, but not hostility while higher levels of explicit self-control were related to lower levels of all types of aggression. We also investigated the role of gender in the current study and showed that gender was associated with aggressive tendencies, such that males had higher levels of trait aggression on three out of four outcomes, and the relationship between explicit self-control and physical aggression differed according to gender whereby the relationship between these variables was stronger among males. The current findings provide the first indication that both implicit and explicit self-control have roles in aggressive tendencies.","Implicit, IAT, Aggression, Self-control, Dual-process","",""
