Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Tyler J.M., Calogero R.M., Adams K.E.","7202101684;14059513700;8557541400;","Perpetuation of sexual objectification: The role of resource depletion",2017,"British Journal of Social Psychology","56","2",,"334","353",,11,"10.1111/bjso.12157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992618586&doi=10.1111%2fbjso.12157&partnerID=40&md5=5ab7d5b7ece50da74829b84f513ea9cc","John Wiley and Sons Ltd.","27600438",Conference Paper,"Final","",Scopus,2-s2.0-84992618586
"Christophersen K.-A., Elstad E., Juuti K., Solhaug T., Turmo A.","12785512000;14028218200;6507924071;9335665900;6506999620;","Duration of On-Campus Academic Engagements of Student Teachers in Finland and Norway",2017,"Education Inquiry","8","2",,"89","103",,1,"10.1080/20004508.2016.1275194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057146912&doi=10.1080%2f20004508.2016.1275194&partnerID=40&md5=41384865bdfa8104eafa500a91c78d31","Routledge",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85057146912
"MacGregor K.E., Carnevale J.J., Dusthimer N.E., Fujita K.","56485513200;36194656700;57192982398;12787537400;","Knowledge of the Self-Control Benefits of High-Level Versus Low-Level Construal",2017,"Journal of Personality and Social Psychology","112","4",,"607","620",,22,"10.1037/pspp0000130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009810540&doi=10.1037%2fpspp0000130&partnerID=40&md5=994fd91ce534b70ba271e8f04f7aa8cb","American Psychological Association Inc.","28080098",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85009810540
"Keatley D.A., Allom V., Mullan B.","28767858600;39260997700;24344595500;","The effects of implicit and explicit self-control on self-reported aggression",2017,"Personality and Individual Differences","107",,,"154","158",,7,"10.1016/j.paid.2016.11.046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997610373&doi=10.1016%2fj.paid.2016.11.046&partnerID=40&md5=adfb45a71db22932931a46cfddcc220d","Elsevier Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84997610373
"Maier S.U., Hare T.A.","56763480100;9039364100;","Higher heart-rate variability is associated with ventromedial prefrontal cortex activity and increased resistance to temptation in dietary self-control challenges",2017,"Journal of Neuroscience","37","2",,"446","455",,26,"10.1523/JNEUROSCI.2815-16.2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009727174&doi=10.1523%2fJNEUROSCI.2815-16.2016&partnerID=40&md5=71edc1bd530d83803687ce06987f6408","Society for Neuroscience","28077722",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85009727174
"Arli D., Leo C.","54882304200;55316660600;","Why do good people do bad things? The effect of ethical ideology, guilt proneness, and self-control on consumer ethics",2017,"Asia Pacific Journal of Marketing and Logistics","29","5",,"1055","1078",,7,"10.1108/APJML-11-2016-0218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035113523&doi=10.1108%2fAPJML-11-2016-0218&partnerID=40&md5=6eb0bd1d7cd2c277cffe58474a40fa4a","Emerald Group Publishing Ltd.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85035113523
"Fırat M.","23666804200;","Relationship between self-control and facebook use: Case of CEIT students",2017,"Kuram ve Uygulamada Egitim Bilimleri","17","4",,"1179","1201",,5,"10.12738/estp.2017.4.0194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020668328&doi=10.12738%2festp.2017.4.0194&partnerID=40&md5=4869785d965c7b4df6c123557db22201","Edam",,Article,"Final","",Scopus,2-s2.0-85020668328
"Rowland Z., Wenzel M., Kubiak T.","57189988547;55649250000;8762960900;","The effects of computer-based mindfulness training on Self-control and Mindfulness within Ambulatorily assessed network Systems across Health-related domains in a healthy student population (SMASH): Study protocol for a randomized controlled trial",2016,"Trials","17","1","570","","",,8,"10.1186/s13063-016-1707-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999873024&doi=10.1186%2fs13063-016-1707-4&partnerID=40&md5=679b393cb7eb8f0af682dba244167db4","BioMed Central Ltd.","27906104",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84999873024
"Bruehlman-Senecal E., Ayduk O., John O.P.","34969042200;6601979836;7003313240;","Taking the long view: Implications of individual differences in temporal distancing for affect, stress reactivity, and well-being",2016,"Journal of Personality and Social Psychology","111","4",,"610","635",,25,"10.1037/pspp0000103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977659511&doi=10.1037%2fpspp0000103&partnerID=40&md5=40b430b793aaa11657eae0f454676b8b","American Psychological Association Inc.","27399251",Article,"Final","",Scopus,2-s2.0-84977659511
"Ghorbani N., Watson P.J., Madani M., Chen Z.J.","6506648058;55906302400;57225799738;56828298700;","Muslim Experiential Religiousness: Spirituality Relationships With Psychological and Religious Adjustment in Iran",2016,"Journal of Spirituality in Mental Health","18","4",,"300","315",,5,"10.1080/19349637.2016.1162676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967076131&doi=10.1080%2f19349637.2016.1162676&partnerID=40&md5=c915038f2011ce3d0b66a67e804e134e","Routledge",,Article,"Final","",Scopus,2-s2.0-84967076131
"Englert C., Rummel J.","57189178989;26327051800;","I want to keep on exercising but I don't: The negative impact of momentary lacks of self-control on exercise adherence",2016,"Psychology of Sport and Exercise","26",,,"24","31",,33,"10.1016/j.psychsport.2016.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974589052&doi=10.1016%2fj.psychsport.2016.06.001&partnerID=40&md5=fe9f01a3fb189d38c73c52a3b1937424","Elsevier Ltd",,Article,"Final","",Scopus,2-s2.0-84974589052
"Prado C.E., Treeby M.S., Crowe S.F.","55914418000;55234140800;57224924461;","Examining the relationships between sub-clinical psychopathic traits with shame, guilt and externalisation response tendencies to everyday transgressions",2016,"Journal of Forensic Psychiatry and Psychology","27","4",,"569","585",,8,"10.1080/14789949.2016.1167933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978807272&doi=10.1080%2f14789949.2016.1167933&partnerID=40&md5=c2d547d327526deb0eea0c120eb35f45","Routledge",,Article,"Final","",Scopus,2-s2.0-84978807272
"Flexon J.L., Meldrum R.C., Piquero A.R.","24586904300;24332567200;7004924415;","Low Self-Control and the Victim–Offender Overlap: A Gendered Analysis",2016,"Journal of Interpersonal Violence","31","11",,"2052","2076",,27,"10.1177/0886260515572471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973333466&doi=10.1177%2f0886260515572471&partnerID=40&md5=ec30df599623154177d78c5b681784c7","SAGE Publications Inc.","25711616",Article,"Final","",Scopus,2-s2.0-84973333466
"Doucet M.","39261256900;","What is the link between regret and weakness of will?",2016,"Philosophical Psychology","29","3",,"448","461",,,"10.1080/09515089.2015.1099621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958928060&doi=10.1080%2f09515089.2015.1099621&partnerID=40&md5=949d36c88686ffa718dad304fb8d7445","Routledge",,Article,"Final","",Scopus,2-s2.0-84958928060
"Chen C., He G.","57192217921;55510655600;","The contrast effect in temporal and probabilistic discounting",2016,"Frontiers in Psychology","7","MAR","304","","",,3,"10.3389/fpsyg.2016.00304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962019499&doi=10.3389%2ffpsyg.2016.00304&partnerID=40&md5=bff2970427928d485b2e127f97096054","Frontiers Research Foundation",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84962019499
"Graham S.M., Negash S., Lambert N.M., Fincham F.D.","55684486100;35174869900;14420115200;7006653075;","Problem drinking and extradyadic sex in young adult romantic relationships",2016,"Journal of Social and Clinical Psychology","35","2",,"152","170",,5,"10.1521/jscp.2016.35.2.152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957810995&doi=10.1521%2fjscp.2016.35.2.152&partnerID=40&md5=6359a11827ac73bfaa86b3f496d57be3","Guilford Publications",,Article,"Final","",Scopus,2-s2.0-84957810995
"Exline J.J., Homolka S.J., Harriott V.A.","6603930548;55917339800;56922355900;","Links with body image concerns, binging, and compensatory behaviours around eating",2016,"Mental Health, Religion and Culture","19","1",,"8","22",,13,"10.1080/13674676.2015.1087977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961206788&doi=10.1080%2f13674676.2015.1087977&partnerID=40&md5=23d4982479d888c3c4383c5cd6084715","Routledge",,Article,"Final","",Scopus,2-s2.0-84961206788
"Lee Z.W.Y., Cheung C.M.K., Chan T.K.H.","55071753900;9434254900;56202307300;","Technology-mediated self-regulation: An implication for preventing online gaming addiction",2016,"2016 International Conference on Information Systems, ICIS 2016",,,,"","",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019491874&partnerID=40&md5=e314603dd59f37ab179aa0767705bb30","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85019491874
"Stappenbeck C.A., Gulati N.K., Fromme K.","35293686700;57091348700;7004830937;","Daily associations between alcohol consumption and dating violence perpetration among men and women: Effects of self-regulation",2016,"Journal of Studies on Alcohol and Drugs","77","1",,"150","159",,9,"10.15288/jsad.2016.77.150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956750352&doi=10.15288%2fjsad.2016.77.150&partnerID=40&md5=5f20e2cbd853dc82b23953c7e868a501","Alcohol Research Documentation Inc.","26751365",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84956750352
"von Hippel W., Ronay R., Baker E., Kjelsaas K., Murphy S.C.","6603946209;14042364900;56919131900;57053355800;55259037600;","Quick Thinkers Are Smooth Talkers: Mental Speed Facilitates Charisma",2016,"Psychological Science","27","1",,"119","122",,4,"10.1177/0956797615616255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954130890&doi=10.1177%2f0956797615616255&partnerID=40&md5=806af227e36802d741333ac330011d82","SAGE Publications Inc.","26621964",Article,"Final","",Scopus,2-s2.0-84954130890
"McCarthy R.J., Crouch J.L., Basham A.R., Milner J.S., Skowronski J.J.","36613438500;7004865948;57053230900;7201508666;7103388522;","Validating the voodoo doll task as a proxy for aggressive parenting behavior",2016,"Psychology of Violence","6","1",,"135","144",,17,"10.1037/a0038456","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954100607&doi=10.1037%2fa0038456&partnerID=40&md5=2fdb5294e98105f0da73ef0935b553c2","American Psychological Association Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84954100607
"Gustavson D.E., Miyake A., Hewitt J.K., Friedman N.P.","56289533800;7201955587;56833507700;7102059040;","Understanding the cognitive and genetic underpinnings of procrastination: Evidence for shared genetic influences with goal management and executive function abilities",2015,"Journal of Experimental Psychology: General","144","6",,"1063","1079",,41,"10.1037/xge0000110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942036266&doi=10.1037%2fxge0000110&partnerID=40&md5=6bedfd63439dbf1ad28cedf593a003fe","American Psychological Association Inc.","26389573",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84942036266
"Mauersberger H., Blaison C., Kafetsios K., Kessler C.-L., Hess U.","56798223200;24075531700;12798824100;56797596600;7006910783;","Individual Differences in Emotional Mimicry: Underlying Traits and Social Consequences",2015,"European Journal of Personality","29","5",,"512","529",,13,"10.1002/per.2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945444198&doi=10.1002%2fper.2008&partnerID=40&md5=ef22720a18e1c8203135a40788623ce6","John Wiley and Sons Ltd",,Article,"Final","",Scopus,2-s2.0-84945444198
"Jia J.S., Khan U., Litt A.","55611330600;36157994000;57213114417;","The effect of self-control on the construction of risk perceptions",2015,"Management Science","61","9",,"2259","2280",,12,"10.1287/mnsc.2014.2098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941773069&doi=10.1287%2fmnsc.2014.2098&partnerID=40&md5=1b086d44db3f150ed420411c3b997fac","INFORMS Inst.for Operations Res.and the Management Sciences",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84941773069
"Van Gelderen M., Kautonen T., Fink M.","8535347400;23994263800;23972262000;","From entrepreneurial intentions to actions: Self-control and action-related doubt, fear, and aversion",2015,"Journal of Business Venturing","30","5",,"655","673",,194,"10.1016/j.jbusvent.2015.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937630633&doi=10.1016%2fj.jbusvent.2015.01.003&partnerID=40&md5=1bd0eea54281325b7e8b4c94fab788bb","Elsevier Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84937630633
"Huynh M.T.X., Olsen S.O.","55513363500;7202568716;","Personality, Personal Values, and Consumer Participation in Self-Production: The Case of Home Meal Preparation",2015,"Psychology and Marketing","32","7",,"709","724",,13,"10.1002/mar.20812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946084998&doi=10.1002%2fmar.20812&partnerID=40&md5=caa0df8b0acbf975aa40e774b1babff7","Wiley-Liss Inc.",,Article,"Final","",Scopus,2-s2.0-84946084998
"Seuntjens T.G., Zeelenberg M., Van De Ven N., Breugelmans S.M.","56505539800;6701914145;8329674800;8646129600;","Dispositional greed",2015,"Journal of Personality and Social Psychology","108","6",,"917","933",,88,"10.1037/pspp0000031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929511239&doi=10.1037%2fpspp0000031&partnerID=40&md5=92637ca89307848c948666c50d93dccc","American Psychological Association","25664899",Article,"Final","",Scopus,2-s2.0-84929511239
"Bornstein M.H., Putnick D.L., Lansford J.E., Pastorelli C., Skinner A.T., Sorbring E., Tapanya S., Uribe Tirado L.M., Zelli A., Alampay L.P., Al-Hassan S.M., Bacchini D., Bombi A.S., Chang L., Deater-Deckard K., Di Giunta L., Dodge K.A., Malone P.S., Oburu P.","7102912887;14049045800;7003639329;6701500087;35976702900;6506914026;14064077200;44861987200;6602098039;35731029700;36496358200;9247670600;7801311534;36180762700;7004361275;25627159200;7006549582;7102423479;8437043600;","Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self-reports",2015,"International Journal of Psychology","50","3",,"174","185",,64,"10.1002/ijop.12084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928749061&doi=10.1002%2fijop.12084&partnerID=40&md5=23f7cd66566609adffd984eb14e077be","Wiley-Blackwell Publishing Ltd","25043708",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928749061
"Restubog S.L.D., Zagenczyk T.J., Bordia P., Bordia S., Chapman G.J.","13905925700;15081779100;7003566658;26031975600;56670837800;","If You Wrong Us, Shall We Not Revenge? Moderating Roles of Self-Control and Perceived Aggressive Work Culture in Predicting Responses to Psychological Contract Breach",2015,"Journal of Management","41","4",,"1132","1154",,80,"10.1177/0149206312443557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930518829&doi=10.1177%2f0149206312443557&partnerID=40&md5=762c406a2a09aa0796af4c942700a1db","SAGE Publications Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84930518829
"Kim J., Lee S., Rua T.","53866711400;36859625200;56554155100;","Feeling Depleted and Powerless: The Construal-Level Mechanism",2015,"Personality and Social Psychology Bulletin","41","4",,"599","609",,9,"10.1177/0146167215574993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924905704&doi=10.1177%2f0146167215574993&partnerID=40&md5=b629e71c980180ff7ec3ff5f1f779343","SAGE Publications Inc.","25725036",Article,"Final","",Scopus,2-s2.0-84924905704
"Pang B., Otto A.R., Worthy D.A.","55878322700;35322991600;15128203000;","Self-Control Moderates Decision-Making Behavior When Minimizing Losses versus Maximizing Gains",2015,"Journal of Behavioral Decision Making","28","2",,"176","187",,4,"10.1002/bdm.1830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925271537&doi=10.1002%2fbdm.1830&partnerID=40&md5=f70fd6648cf939d0d07dbbda6fd54e9e","John Wiley and Sons Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84925271537
"Yang Z., Wang J., Mourali M.","55605770663;16308119800;13408744200;","Effect of peer influence on unauthorized music downloading and sharing: The moderating role of self-construal",2015,"Journal of Business Research","68","3",,"516","525",,24,"10.1016/j.jbusres.2014.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919834715&doi=10.1016%2fj.jbusres.2014.09.011&partnerID=40&md5=39de1c16dd093f3d707472ab58b5111c","Elsevier Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84919834715
"Dimenichi B.C., Richmond L.L.","56470759100;35076535400;","Reflecting on past failures leads to increased perseverance and sustained attention",2015,"Journal of Cognitive Psychology","27","2",,"180","193",,24,"10.1080/20445911.2014.995104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924749723&doi=10.1080%2f20445911.2014.995104&partnerID=40&md5=d164ef2b0099cc68c928f0e1ea9e48e1","Psychology Press Ltd",,Article,"Final","",Scopus,2-s2.0-84924749723
"Hsee C.K., Yang Y., Zheng X., Wang H.","57208356912;57192547208;43461954700;57196428275;","Lay rationalism: Individual differences in using reason versus feelings to guide decisions",2015,"Journal of Marketing Research","52","1",,"134","146",,40,"10.1509/jmr.13.0532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928559215&doi=10.1509%2fjmr.13.0532&partnerID=40&md5=e465c39e0a251f1a7f1502bbdf5dacf6","American Marketing Association",,Article,"Final","",Scopus,2-s2.0-84928559215
"Zwanenburg S.P.","56104104900;","How to tie a construct to indicators: Guidelines for valid measurement",2015,"2015 International Conference on Information Systems: Exploring the Information Frontier, ICIS 2015",,,,"","",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107083761&partnerID=40&md5=9a0565abfb22d26f4d6d60f7e40c88d6","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85107083761
"Chan T.K.H., Cheung C.M.K., Lee Z.W.Y., Neben T.","56202307300;9434254900;55071753900;56023350500;","Transition from urge to excessive use of social networking sites: The moderating role of self-control and accessibility",2015,"Pacific Asia Conference on Information Systems, PACIS 2015 - Proceedings",,,,"","",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011019657&partnerID=40&md5=2646c858f256e5948a7f6bf242daa2b8","Pacific Asia Conference on Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85011019657
"Chan D.K.C., Lentillon-Kaestner V., Dimmock J.A., Donovan R.J., Keatley D.A., Hardcastle S.J., Hagger M.S.","25923253400;31967655000;56427698300;35232806100;28767858600;7003333859;6602134841;","Self-control, self-regulation, and doping in sport: A test of the strength-energy model",2015,"Journal of Sport and Exercise Psychology","37","2",,"199","206",,25,"10.1123/jsep.2014-0250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940822910&doi=10.1123%2fjsep.2014-0250&partnerID=40&md5=850cdf73f584ea3c847f96578d586657","Human Kinetics Publishers Inc.","25996110",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84940822910
"Grubbs J.B., Exline J.J., Pargament K.I., Hook J.N., Carlisle R.D.","54907163700;6603930548;7004253169;16052590700;37008977200;","Transgression as Addiction: Religiosity and Moral Disapproval as Predictors of Perceived Addiction to Pornography",2015,"Archives of Sexual Behavior","44","1",,"125","136",,134,"10.1007/s10508-013-0257-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928767876&doi=10.1007%2fs10508-013-0257-z&partnerID=40&md5=1922c556394267defb5b1c46f93dd199","Springer Science and Business Media, LLC","24519108",Article,"Final","",Scopus,2-s2.0-84928767876
"Yang Z., Wang J.","55605770663;16308119800;","Differential effects of social influence sources on self-reported music piracy",2015,"Decision Support Systems","69",,,"70","81",,18,"10.1016/j.dss.2014.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920456588&doi=10.1016%2fj.dss.2014.11.007&partnerID=40&md5=615fe84d9ba7146acf3b85f5d79daaff","Elsevier",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84920456588
"Ghorbani N., Watson P.J., Fayyaz F., Chen Z.","6506648058;55906302400;54891372900;39260937900;","Integrative self-knowledge and marital satisfaction",2015,"Journal of Psychology: Interdisciplinary and Applied","149","1",,"1","18",,4,"10.1080/00223980.2013.827614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919345552&doi=10.1080%2f00223980.2013.827614&partnerID=40&md5=604dd8b28467ee4805d2887c1434db5f","Routledge","25495159",Article,"Final","",Scopus,2-s2.0-84919345552
"McKee H.C., Ntoumanis N., Taylor I.M.","55649975100;6604054863;23391172100;","An Ecological Momentary Assessment of Lapse Occurrences in Dieters",2014,"Annals of Behavioral Medicine","48","3",,"300","310",,39,"10.1007/s12160-014-9594-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894084858&doi=10.1007%2fs12160-014-9594-y&partnerID=40&md5=8f46b58cc765536c58eb3cfa69cf7d4a","Springer Science and Business Media, LLC","24562984",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84894084858
"Uziel L., Hefetz U.","16305445700;56416528000;","The selfish side of self-control",2014,"European Journal of Personality","28","5",,"449","458",,18,"10.1002/per.1972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910133337&doi=10.1002%2fper.1972&partnerID=40&md5=38bd84dac08a9ba733c7ff7748818dc9","John Wiley and Sons Ltd",,Article,"Final","",Scopus,2-s2.0-84910133337
"Garrett L.E., Klemme A.K., Wilkins A.L.","56900800100;57218114544;55445151600;","Related constructs and measures from beyond the field of ethics",2014,"Research Companion to Ethical Behavior in Organizations: Constructs and Measures",,,,"255","366",,1,"10.4337/9781782547471.00014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080893342&doi=10.4337%2f9781782547471.00014&partnerID=40&md5=9e3afc36cdfd235069c6d92402505975","Edward Elgar Publishing Ltd.",,Book Chapter,"Final","",Scopus,2-s2.0-85080893342
"Gebauer J.E., Bleidorn W., Gosling S.D., Rentfrow P.J., Lamb M.E., Potter J.","11140570500;27367623900;16733981500;6602274526;7102285207;7403341430;","Cross-cultural variations in big five relationships with religiosity: A sociocultural motives perspective",2014,"Journal of Personality and Social Psychology","107","6",,"1064","1091",,63,"10.1037/a0037683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925435340&doi=10.1037%2fa0037683&partnerID=40&md5=6f60fa2b210f578888a4ae25c8d30a79","American Psychological Association Inc.","25180757",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84925435340
"Crowell A., Kelley N.J., Schmeichel B.J.","56364260600;53264172200;6506692179;","Trait approach motivation moderates the aftereffects of self-control",2014,"Frontiers in Psychology","5","SEP","1112","","",,15,"10.3389/fpsyg.2014.01112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907217423&doi=10.3389%2ffpsyg.2014.01112&partnerID=40&md5=801f83c9cb64fc9684d014513f3468f5","Frontiers Research Foundation",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84907217423
"McKee H.C., Ntoumanis N.","55649975100;6604054863;","Multiple-goal management: An examination of simultaneous pursuit of a weight-loss goal with another goal",2014,"Journal of Health Psychology","19","9",,"1163","1173",,8,"10.1177/1359105313485484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906775171&doi=10.1177%2f1359105313485484&partnerID=40&md5=43e3d46294c5d4206f0733527b3270df","SAGE Publications Ltd","23682068",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84906775171
"Chen J., Tang T.L.-P., Tang N.","55804582900;24559503500;7202344065;","Temptation, Monetary Intelligence (Love of Money), and Environmental Context on Unethical Intentions and Cheating",2014,"Journal of Business Ethics","123","2",,"197","219",,41,"10.1007/s10551-013-1783-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906047468&doi=10.1007%2fs10551-013-1783-2&partnerID=40&md5=6a33842655202f64b1ec1362737c28e7","Kluwer Academic Publishers",,Article,"Final","",Scopus,2-s2.0-84906047468
"DeWall C.N., Pond Jr. R.S., Carter E.C., McCullough M.E., Lambert N.M., Fincham F.D., Nezlek J.B.","6507380747;36464269500;54787468100;7101948673;14420115200;7006653075;7004481879;","Explaining the relationship between religiousness and substance use: Self-control matters",2014,"Journal of Personality and Social Psychology","107","2",,"339","351",,44,"10.1037/a0036853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905502415&doi=10.1037%2fa0036853&partnerID=40&md5=fb9380855f0e10920befac6b38059858","American Psychological Association Inc.","25090132",Article,"Final","",Scopus,2-s2.0-84905502415
"Cheung T.T.L., Gillebaart M., Kroese F., De Ridder D.","56289930900;55165379200;34067692600;55230438400;","Why are people with high self-control happier? The effect of trait self-control on happiness as mediated by regulatory focus",2014,"Frontiers in Psychology","5","JUL","722","","",,68,"10.3389/fpsyg.2014.00722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904731020&doi=10.3389%2ffpsyg.2014.00722&partnerID=40&md5=c066e455631c3289ba0aeb9216ec6332","Frontiers Research Foundation",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84904731020
"Latner J.D., Mond J.M., Kelly M.C., Haynes S.N., Hay P.J.","57210221960;7006049723;37034213300;7103073948;7103401187;","The loss of control over eating scale: Development and psychometric evaluation",2014,"International Journal of Eating Disorders","47","6",,"647","659",,70,"10.1002/eat.22296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904421080&doi=10.1002%2feat.22296&partnerID=40&md5=6ecd4525c6c56551783f4a95c2081d6a","John Wiley and Sons Inc.","24862351",Article,"Final","",Scopus,2-s2.0-84904421080
"Walborn F.","56238285600;","Religion in Personality Theory",2014,"Religion in Personality Theory",,,,"1","414",,3,"10.1016/C2012-0-06760-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903501688&doi=10.1016%2fC2012-0-06760-9&partnerID=40&md5=37c52c6a2e32294aaea27e47eb1b8592","Elsevier Inc.",,Book,"Final","",Scopus,2-s2.0-84903501688
"Berzonsky M.D., Papini D.R.","6603950089;6701755416;","Identity Processing Styles and Value Orientations: The Mediational Role of Self-Regulation and Identity Commitment",2014,"Identity","14","2",,"96","112",,19,"10.1080/15283488.2013.858228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900798318&doi=10.1080%2f15283488.2013.858228&partnerID=40&md5=28e44b814de7d631a50671784da31775","Psychology Press Ltd",,Article,"Final","",Scopus,2-s2.0-84900798318
"Uziel L.","16305445700;","Impression management (""Lie"") scales are associated with interpersonally oriented self-control, not other-deception",2014,"Journal of Personality","82","3",,"200","212",,27,"10.1111/jopy.12045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899656415&doi=10.1111%2fjopy.12045&partnerID=40&md5=681415acde4180655b0c1c86e6a97087","Blackwell Publishing Ltd","23750550",Article,"Final","",Scopus,2-s2.0-84899656415
"King R.B., Gaerlan M.J.M.","53879992500;55660825300;","High self-control predicts more positive emotions, better engagement, and higher achievement in school",2014,"European Journal of Psychology of Education","29","1",,"81","100",,38,"10.1007/s10212-013-0188-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898808218&doi=10.1007%2fs10212-013-0188-z&partnerID=40&md5=004ecb0d155a1e497de202a2c97f6e9b","Kluwer Academic Publishers",,Article,"Final","",Scopus,2-s2.0-84898808218
"Özdemir Y., Kuzucu Y., Ak Ş.","55368655900;55499730300;55625728500;","Depression, loneliness and Internet addiction: How important is low self-control?",2014,"Computers in Human Behavior","34",,,"284","290",,137,"10.1016/j.chb.2014.02.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896534466&doi=10.1016%2fj.chb.2014.02.009&partnerID=40&md5=ef199c071acede086500704db9d0c5e2","Elsevier Ltd",,Article,"Final","",Scopus,2-s2.0-84896534466
