Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Sun G., Han X., Wang H., Li J., Wang W.","56281170600;57214464387;57216824785;56433080500;57138914000;","The Influence of Face Loss on Impulse Buying: An Experimental Study",2021,"Frontiers in Psychology","12",,"700664","","",,1,"10.3389/fpsyg.2021.700664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111902929&doi=10.3389%2ffpsyg.2021.700664&partnerID=40&md5=768b8828e15dca6fae5e8aaa32bf0439","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85111902929
"Treadway D.C., Seitz S.R., Xu N., Hochwarter W.A., Ferris G.R., Buckley M.R.","8637217000;56902318100;56693638200;7003302770;7004485375;57203069805;","Moderating effects of leader narcissism on the relationships between leader political skill and follower LMX and affective commitment",2021,"Emerging Trends in Global Organizational Science Phenomena: Critical Roles of Politics, Leadership, Stress, and Context",,,,"293","313",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116517681&partnerID=40&md5=0bee87d870acf203ce5c38226280d5fa","Nova Science Publishers, Inc.",,Book Chapter,"Final","",Scopus,2-s2.0-85116517681
"Englert C., Taylor I.M.","57189178989;23391172100;","Motivation and Self-regulation in Sport and Exercise",2021,"Motivation and Self-regulation in Sport and Exercise",,,,"1","273",,2,"10.4324/9781003176695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102698640&doi=10.4324%2f9781003176695&partnerID=40&md5=03cce6345496a63a2bd4e2a7234dae31","Taylor and Francis",,Book,"Final","All Open Access, Green",Scopus,2-s2.0-85102698640
"Wantchekon K.A., Umaña-Taylor A.J., Sladek M.R., McDermott E.R., Updegraff K.A.","57203908708;6601948700;56053164400;57185182100;7003412735;","Adolescents’ ethnic-racial centrality moderates effect of school-based intervention on ethnic-racial identity exploration.",2021,"Developmental Psychology","57","3",,"432","442",,3,"10.1037/dev0001150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102836676&doi=10.1037%2fdev0001150&partnerID=40&md5=391d546c3e2c0759e3e994968b95035e","American Psychological Association","33570985",Article,"Final","",Scopus,2-s2.0-85102836676
"Pronk T.M., Karremans J.C., Demetriou A., van der Meij L., Denissen J.J.A.","26641461600;6506884766;57192921545;24503943300;15050379400;","The role of self-control and sociosexual orientation in partner selection: A speed-dating study",2021,"Journal of Social and Personal Relationships","38","3",,"935","949",,,"10.1177/0265407520977675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097509726&doi=10.1177%2f0265407520977675&partnerID=40&md5=19130a952813abbf660ab305b8062c2c","SAGE Publications Ltd",,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85097509726
"Przetacka J., Droździel D., Michałowski J.M., Wypych M.","57420088600;57189367430;24598064000;6603591150;","Self-Regulation and Learning From Failures: Probabilistic Reversal Learning Task Reveals Lower Flexibility Persisting After Punishment in Procrastinators",2021,"Journal of Experimental Psychology: General",,,,"","",,,"10.1037/xge0001161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123206483&doi=10.1037%2fxge0001161&partnerID=40&md5=05da0b2ef19d245541837bfd13a9670f","American Psychological Association",,Article,"Article in Press","",Scopus,2-s2.0-85123206483
"Wondra T.K., McCrea S.M.","57205419148;23028209200;","Collective self-doubt: does subjective SES predict behavioral self-handicapping tendency in college students?",2021,"Social Psychology of Education",,,,"","",,,"10.1007/s11218-021-09678-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120561937&doi=10.1007%2fs11218-021-09678-z&partnerID=40&md5=00741f9c3a7fc85ce82791e760295bb9","Springer Science and Business Media B.V.",,Article,"Article in Press","",Scopus,2-s2.0-85120561937
"Watkins T., Patel A.S., Antoine G.E.","57201899790;57196218863;57222529207;","You Are What You Eat: How and When Workplace Healthy Eating Cultivates Coworker Perceptions and Behaviors",2021,"Journal of Applied Psychology",,,,"","",,1,"10.1037/apl0000579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119285093&doi=10.1037%2fapl0000579&partnerID=40&md5=e3560b4dcfa9cded9ac4a7324578e95a","American Psychological Association",,Article,"Article in Press","",Scopus,2-s2.0-85119285093
"Lyddy C.J., Good D.J., Bolino M.C., Thompson P.S., Stephens J.P.","56993999600;57206296071;6701369361;57201587116;55107591900;","The Costs of Mindfulness at Work: The Moderating Role of Mindfulness in Surface Acting, Self-Control Depletion, and Performance Outcomes",2021,"Journal of Applied Psychology","106","12",,"1921","1938",,3,"10.1037/apl0000863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112158328&doi=10.1037%2fapl0000863&partnerID=40&md5=63446e8c06a34bde5edcd40fe7bac4f5","American Psychological Association","33570968",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85112158328
"Tai K., Liu Y., Pitesa M., Lim S., Tong Y.K., Arvey R.","56103467100;57224549061;55102745300;57226618569;36859803900;6603730324;","Fit to be good: Physical fitness is negatively associated with deviance.",2021,"Journal of Applied Psychology",,,,"","",,,"10.1037/apl0000916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107855001&doi=10.1037%2fapl0000916&partnerID=40&md5=c3508e87cb566cc1877e85bc57d8a06e","American Psychological Association","33983782",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85107855001
"Herbst R.B., McClure J.M., Ammerman R.T., Stark L.J., Kahn R.S., Mansour M.E., Burkhardt M.C.","57193822142;57209204595;6701780094;7202288470;7201463636;7202600254;54948203700;","Four innovations: A robust integrated behavioral health program in pediatric primary care.",2020,"Families, Systems and Health","38","4",,"450","463",,1,"10.1037/fsh0000537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102211699&doi=10.1037%2ffsh0000537&partnerID=40&md5=ed840f1e2f8ff165787c04030862ba05","American Psychological Association","33119372",Article,"Final","",Scopus,2-s2.0-85102211699
"Masood A., Luqman A., Feng Y., Ali A.","57193113740;57193114185;55925588400;57193110710;","Adverse consequences of excessive social networking site use on academic performance: Explaining underlying mechanism from stress perspective",2020,"Computers in Human Behavior","113",,"106476","","",,12,"10.1016/j.chb.2020.106476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089095967&doi=10.1016%2fj.chb.2020.106476&partnerID=40&md5=e90f91167d040968943ccbcf4e26606b","Elsevier Ltd",,Article,"Final","",Scopus,2-s2.0-85089095967
"Heinze P.E., Fatfouta R., Schröder-Abé M.","57215832459;55671002800;15045576500;","Validation of an implicit measure of antagonistic narcissism",2020,"Journal of Research in Personality","88",,"103993","","",,2,"10.1016/j.jrp.2020.103993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088260262&doi=10.1016%2fj.jrp.2020.103993&partnerID=40&md5=5cb1cd7ceb4110bbbec881a289c71bdf","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85088260262
"Frigerio M., Ottaviani C., Vandone D.","56664052500;12795779400;35782546300;","A meta-analytic investigation of consumer over-indebtedness: The role of impulsivity",2020,"International Journal of Consumer Studies","44","4",,"328","342",,17,"10.1111/ijcs.12570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079450196&doi=10.1111%2fijcs.12570&partnerID=40&md5=f1debab65394f075cf473b21ff2c1a36","Blackwell Publishing Ltd",,Article,"Final","",Scopus,2-s2.0-85079450196
"Müller F., Denk A., Lubaway E., Sälzer C., Kozina A., Perše T.V., Rasmusson M., Jugović I., Nielsen B.L., Rozman M., Ojsteršek A., Jurko S.","57212103490;57208427640;57205702526;54790156600;37055820600;36452387200;54984630200;26021272000;55227838300;55958767900;57208427013;57208423050;","Assessing social, emotional, and intercultural competences of students and school staff: A systematic literature review",2020,"Educational Research Review","29",,"100304","","",,7,"10.1016/j.edurev.2019.100304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075952507&doi=10.1016%2fj.edurev.2019.100304&partnerID=40&md5=8a0191de1a4056cfdf75189568f47957","Elsevier Ltd",,Review,"Final","All Open Access, Green",Scopus,2-s2.0-85075952507
"Shin J., Mattila A.S.","57201341960;7003754716;","Healthy Taste of High Status: Signaling Status at Restaurants",2020,"Cornell Hospitality Quarterly","61","1",,"40","52",,2,"10.1177/1938965519877807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074009659&doi=10.1177%2f1938965519877807&partnerID=40&md5=6ad93bbf6e8a21b5b8141e6ff6c4dd09","SAGE Publications Inc.",,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85074009659
"Baumgartl H., Sauter D., Roessler P., Buettner R.","57204587967;57204584246;57218405803;24831738000;","Measuring social desirability using a novel machine learning approach based on EEG data",2020,"Proceedings of the 24th Pacific Asia Conference on Information Systems: Information Systems (IS) for the Future, PACIS 2020",,,,"","",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089129405&partnerID=40&md5=d9ab4680279b548eaef162f0eee5d7ee","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85089129405
"Hinojo-Lucena F.J., Aznar-Díaz I., Cáceres-Reche M.P., Trujillo-Torres J.M., Romero-Rodríguez J.M.","35772502600;46460984000;36093917000;56366789000;57204466409;","Sharenting: Internet addiction, self-control and online photos of underage children",2020,"Comunicar","28","64",,"93","103",,5,"10.3916/C64-2020-09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086397568&doi=10.3916%2fC64-2020-09&partnerID=40&md5=9420ccc67791c2789ed7daad20c06a8a","Grupo Comunicar Ediciones",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85086397568
"Thielmann I., Spadaro G., Balliet D.","56107426200;56287320400;24068367200;","Personality and prosocial behavior: A theoretical framework and meta-analysis",2020,"Psychological Bulletin","146","1",,"30","90",,123,"10.1037/bul0000217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076575399&doi=10.1037%2fbul0000217&partnerID=40&md5=8dcd32542083ed625432315463d84e33","American Psychological Association Inc.","31841013",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85076575399
"Benvenuti M., Giovagnoli S., Keep M., Mazzoni E., Selleri P.","56644347400;36136821700;57191858493;36818108400;25643444700;","The onlife in emerging adulthood: Experimentation, exploration, and change in the digital era",2019,"Recent Advances in Digital Media Impacts on Identity, Sexuality, and Relationships",,,,"241","264",,,"10.4018/978-1-7998-1063-6.ch013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125432696&doi=10.4018%2f978-1-7998-1063-6.ch013&partnerID=40&md5=339f31f1b66ad2977bb1faedfe72cb9c","IGI Global",,Book Chapter,"Final","",Scopus,2-s2.0-85125432696
"Marr J.C., Pettit N., Thau S.","54409078600;34971934400;16176620900;","After the fall: How perceived self-control protects the legitimacy of higher-ranking employees after status loss",2019,"Organization Science","30","6",,"1165","1188",,5,"10.1287/orsc.2019.1313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075194204&doi=10.1287%2forsc.2019.1313&partnerID=40&md5=9390c45f5b3930a1509d1c61d76d1a19","INFORMS Inst.for Operations Res.and the Management Sciences",,Article,"Final","",Scopus,2-s2.0-85075194204
"Stavrova O., Pronk T., Kokkoris M.D.","36615833200;26641461600;57210088437;","Choosing goals that express the true self: A novel mechanism of the effect of self-control on goal attainment",2019,"European Journal of Social Psychology","49","6",,"1329","1336",,5,"10.1002/ejsp.2559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059848474&doi=10.1002%2fejsp.2559&partnerID=40&md5=aa19bcb55036b2f02b5d08f961b96ad8","John Wiley and Sons Ltd",,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85059848474
"Kong D.T., Jolly P.M.","55338556100;57195204574;","Lay Beliefs About Attention to and Awareness of the Present: Implicit Mindfulness Theory (IMT) and Its Workplace Implications",2019,"Journal of Business and Psychology","34","5",,"685","707",,3,"10.1007/s10869-018-9606-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057595350&doi=10.1007%2fs10869-018-9606-1&partnerID=40&md5=a796240f1f8d41958e4169a48f9fe339","Springer New York LLC",,Article,"Final","",Scopus,2-s2.0-85057595350
"Kokkoris M.D., Hoelzl E., Alós-Ferrer C.","57210088437;23967620300;6602688060;","True to which self? Lay rationalism and decision satisfaction in self-control conflicts",2019,"Journal of Personality and Social Psychology","117","2",,"417","447",,4,"10.1037/pspp0000242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063507661&doi=10.1037%2fpspp0000242&partnerID=40&md5=d0daa848b659721eb3918acdafffbf57","American Psychological Association Inc.","30920281",Article,"Final","",Scopus,2-s2.0-85063507661
"Ferretti F., Vandone D.","56234851600;35782546300;","Personal debt in Europe: The EU financial market and consumer insolvency",2019,"Personal Debt in Europe: The EU Financial Market and Consumer Insolvency",,,,"1","248",,5,"10.1017/9781108615358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079438836&doi=10.1017%2f9781108615358&partnerID=40&md5=121dfaf171ac03363369d6baa0fbb888","Cambridge University Press",,Book,"Final","",Scopus,2-s2.0-85079438836
"Kang S.Y., Youn N., Yoon H.C.","57206675155;55337837500;57206661645;","The self-regulatory power of environmental lighting: The effect of illuminance and correlated color temperature",2019,"Journal of Environmental Psychology","62",,,"30","41",,2,"10.1016/j.jenvp.2019.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061833114&doi=10.1016%2fj.jenvp.2019.02.006&partnerID=40&md5=12b9690cf0fe3bc0433c3a6dd9c4fdf2","Academic Press",,Article,"Final","",Scopus,2-s2.0-85061833114
"Stavrova O., Kokkoris M.D.","36615833200;57210088437;","Struggling to be liked: The prospective effect of trait self-control on social desirability and the moderating role of agreeableness",2019,"International Journal of Psychology","54","2",,"232","236",,6,"10.1002/ijop.12444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023644531&doi=10.1002%2fijop.12444&partnerID=40&md5=599bdc7297d7d859fa4a62d23eee2042","Wiley-Blackwell Publishing Ltd","28703330",Article,"Final","",Scopus,2-s2.0-85023644531
"Mumford E.A., Taylor B.G., Berg M., Liu W., Miesfeld N.","7006265014;35618517400;8576287700;55540924000;55874968500;","The social anatomy of adverse childhood experiences and aggression in a representative sample of young adults in the U.S",2019,"Child Abuse and Neglect","88",,,"15","27",,17,"10.1016/j.chiabu.2018.10.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056239159&doi=10.1016%2fj.chiabu.2018.10.016&partnerID=40&md5=221aa41eb68ce4656a4ffcdcebd2d86b","Elsevier Ltd","30439649",Article,"Final","",Scopus,2-s2.0-85056239159
"Mignault M.-C., Human L.J.","57201210140;18037430000;","The good target of personality judgments",2019,"The Oxford Handbook of Accurate Personality Judgment",,,,"100","118",,3,"10.1093/oxfordhb/9780190912529.013.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112260441&doi=10.1093%2foxfordhb%2f9780190912529.013.7&partnerID=40&md5=d107be7065f724c8c1c8d7a1183e0235","Oxford University Press",,Book Chapter,"Final","",Scopus,2-s2.0-85112260441
"Ecker Y., Bar-Anan Y.","57200438871;15055305000;","The misattributing personality: The relationship between priming in the affect misattribution procedure, need for closure, and body awareness",2019,"Social Cognition","37","5",,"499","515",,1,"10.1521/soco.2019.37.5.499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075528393&doi=10.1521%2fsoco.2019.37.5.499&partnerID=40&md5=244fa6e782ed40798aaa166fe8012384","Guilford Publications",,Article,"Final","",Scopus,2-s2.0-85075528393
"Adil A., Kanwal A., Ghayas S., Khan A.","55204371200;57210433640;55205062700;57210428029;","Effect of ego depletion and expectancy beliefs on working memory, problem solving, task persistence, and performance",2019,"Pakistan Journal of Psychological Research","34","2",,"233","253",,,"10.33824/PJPR.2019.34.2.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070699772&doi=10.33824%2fPJPR.2019.34.2.13&partnerID=40&md5=34899c8d399de90e830a9549151c9218","National Institute of Psychology",,Article,"Final","",Scopus,2-s2.0-85070699772
"Khan M.J., Harding N.","57210317018;7004567952;","Why is trait scepticism not consistently reflected in state scepticism? An exploratory study into the role of aesthetic engagement",2019,"Accounting and Finance",,,,"","",,,"10.1111/acfi.12522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070263237&doi=10.1111%2facfi.12522&partnerID=40&md5=e36ca01f2c172871ba8047e396bb6df5","Blackwell Publishing",,Article,"Article in Press","",Scopus,2-s2.0-85070263237
"Pronk T.M., Buyukcan-Tetik A., Iliás M.M.A.H., Finkenauer C.","26641461600;55839334500;57205099143;6603831008;","Marriage as a training ground: Examining change in self-control and forgiveness over the first 4 years of marriage",2019,"Journal of Social and Personal Relationships","36","1",,"109","130",,11,"10.1177/0265407517721065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057915296&doi=10.1177%2f0265407517721065&partnerID=40&md5=c4a1604638683238864d6151bdde1f75","SAGE Publications Ltd",,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85057915296
"Rosen C.C., Simon L.S., Gajendran R.S., Johnson R.E., Lee H.W., Lin Joanna S.-H.","24280321800;26538208000;56630631600;12647656600;57203715496;57205288033;","Boxed in by your inbox: Implications of daily E-mail demands for managers' leadership behaviors",2019,"Journal of Applied Psychology","104","1",,"19","33",,49,"10.1037/apl0000343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053230335&doi=10.1037%2fapl0000343&partnerID=40&md5=02d8367aa9d405f13888d2b726e80a7e","American Psychological Association Inc.","30221954",Article,"Final","",Scopus,2-s2.0-85053230335
"Barauskaite D., Gineikiene J., Fennis B.M., Auruskeviciene V., Yamaguchi M., Kondo N.","57194505568;35867853900;6507982433;23487758700;55290580700;36246380200;","Eating healthy to impress: How conspicuous consumption, perceived self-control motivation, and descriptive normative influence determine functional food choices",2018,"Appetite","131",,,"59","67",,29,"10.1016/j.appet.2018.08.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052932209&doi=10.1016%2fj.appet.2018.08.015&partnerID=40&md5=5254a0c3c84a88239699d237007abb4a","Academic Press","30114492",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85052932209
"Burkley E., Burkley M., Curtis J., Hatvany T.","14521983000;23011268500;57199320087;56495157700;","Lead us not into temptation: The seven deadly sins as a taxonomy of temptations",2018,"Social and Personality Psychology Compass","12","10","e12416","","",,2,"10.1111/spc3.12416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053443044&doi=10.1111%2fspc3.12416&partnerID=40&md5=57c22d57fe7e21e55c19193d0aba187a","Wiley-Blackwell",,Article,"Final","",Scopus,2-s2.0-85053443044
"Klotz A.C., He W., Yam K.C., Bolino M.C., Wei W., Houston L., III","36170756500;56701480100;55513015400;6701369361;57195231726;40761401600;","Good actors but bad apples: Deviant consequences of daily impression management at work",2018,"Journal of Applied Psychology","103","10",,"1145","1154",,36,"10.1037/apl0000335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049056199&doi=10.1037%2fapl0000335&partnerID=40&md5=1150df1febe44c2a41666a8a157540bd","American Psychological Association Inc.","29939036",Article,"Final","",Scopus,2-s2.0-85049056199
"Melbye E.L., Helland M.H.","51161738200;6603033000;","Soft drinks for lunch? Self-control, intentions and social influences",2018,"British Food Journal","120","8",,"1735","1748",,2,"10.1108/BFJ-11-2017-0605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052070147&doi=10.1108%2fBFJ-11-2017-0605&partnerID=40&md5=6fd54ff62bf9b75a30969527a33d725c","Emerald Group Holdings Ltd.",,Article,"Final","",Scopus,2-s2.0-85052070147
"Nikolova H., Lamberton C., Coleman N.V.","56357966600;40761633300;55792139600;","Stranger Danger: When and Why Consumer Dyads Behave Less Ethically Than Individuals",2018,"Journal of Consumer Research","45","1","ucx108","90","108",,12,"10.1093/jcr/ucx108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058565923&doi=10.1093%2fjcr%2fucx108&partnerID=40&md5=85c44a13f9f244dbc79f0ea8012340a0","Oxford University Press",,Article,"Final","",Scopus,2-s2.0-85058565923
"Thornquist C.","56396992100;","The potential of dance: Reducing fashion consumption through movement therapy",2018,"Journal of Cleaner Production","183",,,"824","830",,1,"10.1016/j.jclepro.2018.02.238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043587268&doi=10.1016%2fj.jclepro.2018.02.238&partnerID=40&md5=a27e3ced7ae47dd46b64e9d5b6d353a7","Elsevier Ltd",,Article,"Final","",Scopus,2-s2.0-85043587268
