Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Dispositional greed.","Seuntjens, Terri G.; Zeelenberg, Marcel; van de Ven, Niels; Breugelmans, Seger M.","Journal of Personality and Social Psychology",="00223514",,="20150601","108","6","917","17","2015-05633-001","10.1037/pspp0000031","American Psychological Association","Journal Article","Economics; Individual Differences; Social Behavior; Interpersonal Relationships; Materialism (Philosophy); Games; Motivation; Greed; Adulthood (18 yrs & older); Male; Female",,"Greed is an important motive: it is seen as both productive (a source of ambition; the motor of the economy) and destructive (undermining social relationships; the cause of the late 2000s financial crisis). However, relatively little is known about what greed is and does. This article reports on 5 studies that develop and test the 7-item Dispositional Greed Scale (DGS). Study 1 (including 4 separate samples from 2 different countries, total N = 6092) provides evidence for the construct and discriminant validity of the DGS in terms of positive correlations with maximization, self-interest, envy, materialism, and impulsiveness, and negative correlations with self-control and life satisfaction. Study 2 (N = 290) presents further evidence for discriminant validity, finding that the DGS predicts greedy behavioral tendencies over and above materialism. Furthermore, the DGS predicts economic behavior: greedy people allocate more money to themselves in dictator games (Study 3, N = 300) and ultimatum games (Study 4, N = 603), and take more in a resource dilemma (Study 5, N = 305). These findings shed light on what greed is and does, how people differ in greed, and how greed can be measured. In addition, they show the importance of greed in economic behavior and provide directions for future studies. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2015-05633-001&site=ehost-live&scope=site"
"Dyadic correlates of the perpetration of psychological aggression among intimate partners.","Johnson, Wendi L.; Taylor, Bruce G.; Mumford, Elizabeth A.; Liu, Weiwei","Psychology of Violence",="21520828",,="20200701","10","4","422","10","2019-55807-001","10.1037/vio0000257","Educational Publishing Foundation","Journal Article","Aggressive Behavior; Human Sex Differences; Perpetrators; Psychodynamics; Partners; Alcohol Abuse; Drug Usage; Dyads; Intimacy; Risk Factors; Statistical Analysis; Test Construction; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Objectives: Using couple-level data and a multilevel actor-partner interdependence model, this study examined correlates of psychological aggression including problem drinking, illicit drug use, anxiety and depression, recent life stressors, love and caring, adverse childhood experiences (ACE) of emotional and physical abuse, with particular emphasis on the adoption of a 'street code' perspective/attitude and low self-control. Method: Using a diverse sample derived from a national sample, self-reports of psychological aggression and its correlates were analyzed across 800 individuals (400 dyads) who were in a current heterosexual intimate partnership. Results: In multilevel analyses, psychological aggression was correlated with the individual’s risk factors and that of their partner for all variables except for problem drinking and illicit drug use. Although associations for both actor and partner were generally similar, partners’ reports of love and caring were more protective against respondents’ perpetration of psychological aggression. Furthermore, associations between psychological aggression and its covariates did not vary by gender. With the exception of self-control, actor effects did not interact with partner effects to buffer or amplify associations with psychological aggression. Conclusion: Our findings suggested that risk factors associated with the individual and those associated with the partner both contributed to each individual’s psychological aggression independent of the other. Future intimate partner violence studies should continue to explore dual interactive risk factors for both members of the intimate relationship in predicting aggression. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2019-55807-001&site=ehost-live&scope=site"
"Energizing leaders via self-reflection: A within-person field experiment.","Lanaj, Klodiana; Foulk, Trevor A.; Erez, Amir","Journal of Applied Psychology",="00219010",="9781433892363",="20190101","104","1","1","18","2018-51019-001","10.1037/apl0000350","American Psychological Association","Journal Article","Leadership; Leadership Qualities; Employee Engagement; Professional Role; Workplace Intervention; Self-Monitoring (Personality); Test Construction; Theories; Adulthood (18 yrs & older); Male; Female",,"The leader role is demanding and depleting, explaining why many leaders struggle to remain engaged while doing their job. In this study, we present theory and an intervention focused on improving leader energy. Integrating cognitive energetics theory (Kruglanski et al., 2012) with leader identity theory and expressive writing research, we develop and test a positive leader self-reflection intervention, which asks leaders to reflect on aspects of their selves that make them good leaders. We expected that this intervention would improve leaders’ access to and application of their energy in ways that would make them more influential at work. We tested these theoretical expectations in an experimental experience sampling study where, as expected, we found that leaders experienced less depletion and through it heightened work engagement on intervention versus control days. Work engagement, in turn, improved perceived prosocial impact and clout, two markers of leaders’ influence at work. We conceptually replicated the depletion-reducing effect of the intervention in a second study and showed that its effectiveness was specific to those who held leadership roles within their organizations. We discuss the theoretical and practical implications of the intervention and of our findings. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2018-51019-001&site=ehost-live&scope=site"
"Evaluating the Big Five as an organizing framework for commonly used psychological trait scales.","Bainbridge, Timothy F.; Ludeke, Steven G.; Smillie, Luke D.","Journal of Personality and Social Psychology",="00223514",,="20220401","122","4","749","29","2022-21018-001","10.1037/pspp0000395","American Psychological Association","Journal Article","Five Factor Personality Model; Persistence; Personality Traits; Self-Esteem; Taxonomies; Labeling; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"The Big Five is often represented as an effective taxonomy of psychological traits, yet little research has empirically examined whether stand-alone assessments of psychological traits can be located within the Big Five framework. Meanwhile, construct proliferation has created difficulty navigating the resulting landscape. In the present research, we developed criteria for assessing whether the Big Five provides a comprehensive organizing framework for psychological trait scales and evaluated this question across three samples (Total N = 1,039). Study 1 revealed that 83% of an author-identified collection of scales (e.g., Self-Esteem, Grit, etc.) were as related to the Big Five as at least four of 30 Big Five facets, and Study 2 found that 71% of scales selected based on citation counts passed the same criterion. Several scales had strikingly large links at the Big Five facet level, registering correlations with individual Big Five facets exceeding .9. We conclude that the Big Five can indeed serve as an organizing framework for a sizable majority of stand-alone psychological trait scales and that many of these scales could reasonably be labeled as facets of the Big Five. We suggest an integrative pluralism approach, where reliable, valid scales are located within the Big Five and pertinent Big Five research is considered in all research using trait scales readily located within the Big Five. By adopting such an approach, construct proliferation may be abated and it would become easier to integrate findings from disparate fields. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2022-21018-001&site=ehost-live&scope=site"
"Explaining the relationship between religiousness and substance use: Self-control matters.","DeWall, C. Nathan; Pond, Richard S. Jr.; Carter, Evan C.; McCullough, Michael E.; Lambert, Nathaniel M.; Fincham, Frank D.; Nezlek, John B.","Journal of Personality and Social Psychology",="00223514",,="20140801","107","2","339","13","2014-30504-006","10.1037/a0036853","American Psychological Association","Journal Article","Drug Abuse; Religiosity; Self-Control; Self-Regulation; Adulthood (18 yrs & older)",,"Religiousness is reliably associated with lower substance use, but little research has examined whether self-control helps explain why religiousness predicts lower substance use. Building on prior theoretical work, our studies suggest that self-control mediates the relationship between religiousness and a variety of substance-use behaviors. Study 1 showed that daily prayer predicted lower alcohol use on subsequent days. In Study 2, religiousness related to lower alcohol use, which was mediated by self-control. Study 3 replicated this mediational pattern using a behavioral measure of self-control. Using a longitudinal design, Study 4 revealed that self-control mediated the relationship between religiousness and lower alcohol use 6 weeks later. Study 5 replicated this mediational pattern again and showed that it remained significant after controlling for trait mindfulness. Studies 6 and 7 replicated and extended these effects to both alcohol and various forms of drug use among community and cross-cultural adult samples. These findings offer novel evidence regarding the role of self-control in explaining why religiousness is associated with lower substance use. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2014-30504-006&site=ehost-live&scope=site"
"Grit: Perseverance and passion for long-term goals.","Duckworth, Angela L.; Peterson, Christopher; Matthews, Michael D.; Kelly, Dennis R.","Journal of Personality and Social Psychology",="00223514",,="20070601","92","6","1087","15","2007-07951-009","10.1037/0022-3514.92.6.1087","American Psychological Association","Journal Article","Achievement; Goal Orientation; Performance; Persistence; Personality Traits; Academic Achievement; Educational Attainment Level; Passion; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"The importance of intellectual talent to achievement in all professional domains is well established, but less is known about other individual differences that predict success. The authors tested the importance of 1 noncognitive trait: grit. Defined as perseverance and passion for long-term goals, grit accounted for an average of 4% of the variance in success outcomes, including educational attainment among 2 samples of adults (N=1,545 and N=690), grade point average among Ivy League undergraduates (N=138), retention in 2 classes of United States Military Academy, West Point, cadets (N=1,218 and N=1,308), and ranking in the National Spelling Bee (N=175). Grit did not relate positively to IQ but was highly correlated with Big Five Conscientiousness. Grit nonetheless demonstrated incremental predictive validity of success measures over and beyond IQ and conscientiousness. Collectively, these findings suggest that the achievement of difficult goals entails not only talent but also the sustained and focused application of talent over time. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2007-07951-009&site=ehost-live&scope=site"
"Happiness—To enjoy now or later? Consequences of delaying happiness and living in the moment beliefs.","Park, Lora E.; Fujita, Kentaro; Naragon-Gainey, Kristin; Radsvick, Tracy M.; Jung, Han Young; Xia, Ji; Ward, Deborah E.; Paravati, Elaine; Weng, Jennifer; Italiano, Alessia; Valvo, Austin","Emotion",="15283542",,="20211115",,,,,"2022-02931-001","10.1037/emo0000850","American Psychological Association","Journal Article","Goal Orientation; Happiness; Motivation; Self-Regulation; Well Being; Rewards; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"How do people think about happiness? Is it something best enjoyed as an investment over time, or is it something fleeting that should be savored? When people view happiness as an investment, they may endorse delaying happiness (DH)—the belief that working hard and sacrificing opportunities for happiness now will contribute to greater future happiness. When people view happiness as fleeting, they may endorse living in the moment (LM)—the belief that one should seize proximal opportunities to experience happiness now, rather than later. Using a mix of cross-sectional, meta-analytic (Studies 1, 2a, 2b, 2c), experimental (Study 3), and daily diary methods (Study 4), people who endorsed DH or LM beliefs anticipated more positive affect upon goal attainment and experienced greater well-being, but only DH was related to more negative affect when pursuing nonfocal goals and less delay discounting of future rewards. Implications for self-regulation and emotion are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2022-02931-001&site=ehost-live&scope=site"
"Identified ambivalence: When cognitive conflicts can help individuals overcome cognitive traps.","Guarana, Cristiano L.; Hernandez, Morela","Journal of Applied Psychology",="00219010",,="20160701","101","7","1013","17","2016-11918-001","10.1037/apl0000105","American Psychological Association","Journal Article","Ambivalence; Awareness; Decision Making; Contextual Cues; Adulthood (18 yrs & older); Male; Female",,"In this article we investigate the functional effects of ambivalence on decision-making processes. We build on the misattribution literature and recent work on ambivalence to propose that individuals who properly identify the causes of their ambivalence (i.e., identified ambivalence) can systematically process relevant situational cues to make more effective decisions. The results of 4 studies demonstrate that individuals experiencing identified ambivalence are less influenced by cognitive biases (i.e., the framing effect, availability bias, and conjunction bias) than individuals experiencing no ambivalence or felt ambivalence. Notably, we find that contextual awareness accounts for the effect of identified ambivalence on decision effectiveness. We then investigate the role of trait self-control as a specific contingency in our model; our results indicate that identified ambivalence leads to effective decisions when individuals are low in trait self-control. Taken together, we advance theory and offer robust, consistent empirical evidence that explains why and how ambivalence can result in functional outcomes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2016-11918-001&site=ehost-live&scope=site"
"Implicit theories about willpower are associated with exercise levels during the academic examination period.","Bernecker, Katharina; Kramer, Jule","Sport, Exercise, and Performance Psychology",="21573905",="9781433893605",="20200501","9","2","216","16","2019-43263-001","10.1037/spy0000182","Educational Publishing Foundation","Journal Article","Achievement Measures; Exercise; Self-Control; Self-Efficacy; Theories; Mental Health; Students; Test Construction; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Despite the negative consequences of physical inactivity on physical and mental health, many people are insufficiently active. We approached this problem from a self-control perspective, arguing that exercising competes with other long-term goals people pursue in their everyday lives. In a preregistered, cross-sectional study with N = 516 students (n = 278 after exclusion based on preregistered criteria), we tested whether students’ implicit theories about willpower—as being a limited or a nonlimited resource—are associated with exercise levels during their final examination period. Results suggest that during this highly demanding phase of the semester, students who believe their capacity to exert self-control is limited exercise less than students who believe that their self-control is not limited. Further, correlational patterns suggest that exercise-related self-efficacy plays a mediating role, whereas results did not confirm a moderating or mediating role of barrier management as preventive self-control strategies. In sum, our findings suggest that implicit theories about willpower are relevant for exercise as an important domain of self-control in everyday life. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2019-43263-001&site=ehost-live&scope=site"
"Is parental mediation negatively associated with problematic media use among children and adolescents? A systematic review and meta-analysis.","Fam, Jia Yuin; Männikkö, Niko; Juhari, Rumaya; Kääriäinen, Maria","Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement",="0008400X",,="20220228",,,,,"2022-36699-001","10.1037/cbs0000320","Educational Publishing Foundation","Journal Article","Internet Addiction; Parents; Parenting; Media Exposure; Social Media; Adolescent Behavior; Child Behavior; Childhood (birth-12 yrs); Preschool Age (2-5 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs)",,"Parents in contemporary society face the challenge of establishing guidelines for how to manage their children’s and adolescent’s media use. Parental mediation, or the parenting strategies for regulating children’s media use, is frequently mentioned in discussions of problematic media use. However, previous research has provided inconsistent findings on the relationship between parental mediation and problematic media use. This systematic review and meta-analysis aimed to investigate the correlation between parental mediation (restrictive-, active-, and co-using mediation) and problematic media use (internet gaming disorder, social media disorder, and general problematic media use) among children and adolescents. Systematic literature searches were conducted in three online databases: Web of Science; Scopus; and EBSCO (CINAHL). PRISMA guidelines on eligibility criteria were observed. This review included a total of 41 studies which involved 47,264 children/adolescents (between 5 and 22 years of age) and 77,494 parents/carers. The initial results revealed that active mediation and co-using mediation are significantly correlated with problematic media use, while a nonsignificant relationship was found between restrictive mediation and problematic media use. Additional subgroup analyses revealed more complex relationships between parental mediation and problematic media use. This study highlighted certain methodological considerations that should be included in future studies to provide reliable evidence for the link between parental mediation and problematic media use. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2022-36699-001&site=ehost-live&scope=site"
"Measuring self-control in international large-scale surveys: Development and validation of a four-item scale in English, French, German, Japanese, Polish, and Spanish.","Partsch, Melanie V.; Danner, Daniel","European Journal of Psychological Assessment",="10155759",,="20210101","37","5","409","10","2020-91108-001","10.1027/1015-5759/a000618","Hogrefe Publishing","Journal Article","Foreign Language Translation; Self-Control; Test Construction; Test Validity; Educational Attainment Level; Emotions; Health; Persistence; Sensation Seeking; Adulthood (18 yrs & older); Male; Female",,"Self-control – that is, the ability to control impulses, emotions, or actions in order to achieve goals – is associated with a broad range of positive life outcomes, such as educational attainment and health. The present study describes the development and validation of a four-item self-control scale in English, French, German, Japanese, Polish, and Spanish. We used a sample comprising 973 survey respondents from the United States to select the scale items, and a sample comprising 5,557 respondents from six countries to validate the short scale. Results suggest that with just four items, self-control can be measured in a valid, partially scalar invariant, and time-efficient way, and can be adjusted for acquiescence. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2020-91108-001&site=ehost-live&scope=site"
"Mental contrasting spurs energy by changing implicit evaluations of obstacles.","Wittleder, Sandra; Kappes, Andreas; Krott, Nora Rebekka; Jay, Melanie; Oettingen, Gabriele","Motivation Science",="23338113",,="20200601","6","2","133","23","2019-22379-001","10.1037/mot0000140","Educational Publishing Foundation","Journal Article","Commitment; Creativity; Exercise; Interpersonal Relationships; Evaluation; Self-Regulation; Test Construction; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"[Correction Notice: An Erratum for this article was reported in Vol 6(3) of Motivation Science (see record [rid]2020-63892-008[/rid]). In the article 'Mental Contrasting Spurs Energy by Changing Implicit Evaluations of Obstacles,' by Sandra Wittleder, Andreas Kappes, Nora Rebekka Krott, Melanie Jay, and Gabriele Oettingen (Motivation Science, 2020, Vol. 6, Issue 2, pp. 133–155, http://dx.doi.org/10.1037/mot0000140), although the Figure 3 legend is correct, Figure 2 was incorrectly repeated as Figure 3. The correct Figure 3 is provided in the erratum.] Mentally contrasting a desired future with the obstacle of current reality produces expectancy-dependent changes in explicit evaluations of the obstacle of current reality. Past research has shown that these changes at least partly mediate the beneficial effects of mental contrasting on performance. We tested whether mental contrasting also leads to expectancy-dependent changes in implicit evaluations of the obstacle and whether those changes mediate mental contrasting effects on energization and performance. In 3 studies, participants named a desired future (improving interpersonal relationships, Study 1; excelling in a creativity test, Study 2; and improving one’s eating habits, Study 3) and named an important obstacle standing in the way of attaining the desired future. They then engaged in either mental contrasting or control exercises. We assessed participants’ implicit evaluations of their obstacles. Participants in the mental contrasting (vs. control) conditions implicitly evaluated their obstacles more negatively when they had high expectations of success (Studies 1, 2, and 3). Furthermore, expectancy-dependent changes in implicit evaluations of obstacles (i.e., food temptations) mediated mental contrasting effects on energization, which, in turn, predicted commitment and performance (i.e., commitment to eat healthily and healthy eating over the course of 2 weeks, Study 3). (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2019-22379-001&site=ehost-live&scope=site"
"Modeling the association between lifecourse socioeconomic disadvantage and systemic inflammation in healthy adults: The role of self-control.","Hostinar, Camelia E.; Ross, Kharah M.; Chen, Edith; Miller, Gregory E.","Health Psychology",="02786133",,="20150601","34","6","580","11","2014-32954-001","10.1037/hea0000130","American Psychological Association","Journal Article","Disadvantaged; Health Behavior; Inflammation; Self-Control; Socioeconomic Status; Body Fat; Economic Disadvantage; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Objective: We sought to identify pathways connecting lifecourse socioeconomic status (SES) with chronic, low-grade inflammation, focusing on the explanatory roles of self-control, abdominal adiposity, and health practices. Methods: Participants were 360 adults aged 15–55 who were free of chronic medical conditions. They were roughly equally divided between low and high current SES, with each group further divided between low and high early-life SES. Structural equation modeling (SEM) was used to identify direct and indirect pathways linking early-life and current SES with low-grade, chronic inflammation in adulthood, as manifest by serum interleukin-6 and C-reactive protein. Low SES was hypothesized to relate to inflammation by reducing self-control, which in turn was hypothesized to facilitate lifestyle factors that potentiate inflammation (smoking, alcohol use, sedentary behavior, and weight gain). Results: Analyses revealed that self-control was pivotal in linking both early-life and current SES to inflammation. Low early-life SES was related to a harsher family climate, and in turn lower adult self-control, over and above the effects of current SES. Controlling for early-life SES, low current SES was associated with perceived stress and, in turn, diminished self-control. Results showed that lower self-control primarily operated through higher abdominal adiposity to associate with greater inflammation. Conclusions: The findings suggest a mechanistic scenario wherein low SES in early life or adulthood depletes self-control and, in turn, fosters adiposity and inflammation. These pathways should be studied longitudinally to elucidate and potentially ameliorate socioeconomic disparities in health. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2014-32954-001&site=ehost-live&scope=site"
"Passionate thinkers feel better: Self-control capacity as mediator of the relationship between need for cognition and affective adjustment.","Bertrams, Alex; Dickhäuser, Oliver","Journal of Individual Differences",="16140001",,="20120101","33","2","69","7","2012-03639-001","10.1027/1614-0001/a000081","Hogrefe Publishing","Journal Article","Emotional Adjustment; Need for Cognition; Self-Control; Self-Esteem; Self-Regulation; College Students; Major Depression; Adulthood (18 yrs & older); Male; Female",,"The present study tested a possible explanation for the positive relationship between the motivation to engage in cognitive endeavors (need for cognition, NFC) and indicators of affective adjustment (e.g., higher self-esteem, lower depression) that has been demonstrated in previous studies. We suggest that dispositional self-control capacity mediates this relationship, since NFC has been found to be related to self-control capacity, and self-control capacity is crucial for adjustment. NFC, dispositional self-control capacity, self-esteem, habitual depressive mood, and tendency to respond in a socially desirable manner were measured among 150 university students via self-report. Regression analyses and Sobel tests revealed that self-control capacity was a potential mediator of the positive relationship between NFC and affective adjustment. The findings were robust in terms of social desirability. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2012-03639-001&site=ehost-live&scope=site"
"Psychometric properties of the Chinese version of the Difficulties in Emotion Regulation Scale (DERS): Factor structure, reliability, and validity.","Li, Jian; Han, Zhuo Rachel; Gao, Mengyu M.; Sun, Xin; Ahemaitijiang, Nigela","Psychological Assessment",="10403590",,="20180501","30","5","e1","9","2018-21987-001","10.1037/pas0000582","American Psychological Association","Journal Article","Chinese Cultural Groups; Emotional Regulation; Psychometrics; Test Reliability; Test Validity; Foreign Language Translation; Psychopathology; Rating Scales; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Numerous studies have identified the significant role of emotion regulation in an individual’s psychological and social functioning. Ever since its development, the Difficulties in Emotion Regulation Scale (DERS) has been widely adopted as a comprehensive measure to assess emotion regulation problems among English-speaking adults. To assess emotion regulation in adults from Chinese-speaking societies and to promote future cross-cultural examination of the emotion regulation processes, the authors aimed to develop a Chinese version of the DERS and provide an initial validation of this instrument. For the purpose of the current study, we recruited 862 Chinese adults from universities and local companies. The results indicated a similar six-factor solution in the Chinese version to the original version. Internal consistency and test–retest reliability were good. Concurrent validity was assessed by examining the correlations of the DERS and its subscales with measures of psychopathological symptoms and self-regulation of negative mood. The results demonstrated strong correlations of the DERS subscales with the Symptom Checklist-90 (SCL-90) and the Generalized Expectancy for Negative Mood Regulation Scale, except for that between the awareness subscale and the SCL-90. For the convergent validity, most DERS subscales were significantly correlated with personality traits, emotional intelligence, and self-control ability, with several exceptions. These findings are discussed within the context of the relevant literature. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2018-21987-001&site=ehost-live&scope=site"
"Regular exercise participation and volitional competencies.","Kopp, Philipp M.; Senner, Veit; Gröpel, Peter","Sport, Exercise, and Performance Psychology",="21573905",="9781433893605",="20200501","9","2","232","12","2019-62906-001","10.1037/spy0000197","Educational Publishing Foundation","Journal Article","Competence; Exercise; Participation; Self-Regulation; Volition; Self-Control; Sports; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"This study investigated the relationship between exercise participation and volition. In particular, we tested whether volitional competencies predict gym attendance (predisposition model) or change in response to attendance (socialization model). A prospective longitudinal study was employed. Individuals (N = 196) who had just signed up as a new gym member completed a pretest measurement of various self-regulation and self-control competencies and a follow-up 15 weeks later. Participants’ gym attendance was registered electronically using a magnetic card. The analysis revealed that volitional competencies at the pretest were unrelated to gym attendance, but the gym attendance predicted positive changes in the self-control competence measured at the follow-up. Participants who more frequently attended the gym showed greater improvement in self-control. These findings support the socialization model rather than the predisposition model, indicating that exercise participation is less dependent on concrete volitional skills, but it may strengthen volitional competencies as a consequence. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2019-62906-001&site=ehost-live&scope=site"
"Relating trait self-control and forgiveness within prosocials and proselfs: Compensatory versus synergistic models.","Balliet, Daniel; Li, Norman P.; Joireman, Jeff","Journal of Personality and Social Psychology",="00223514",,="20111101","101","5","1090","16","2011-18819-001","10.1037/a0024967","American Psychological Association","Journal Article","Forgiveness; Self-Control; Social Dilemma; Social Values; Prisoners Dilemma Game",,"The present research tested 2 competing models specifying how 2 traits (concern with the well-being of others and self-control) interact to predict forgiveness. According to the compensatory model, forgiveness requires being high on either trait; according to the synergistic model, forgiveness requires being high on both traits. Two preliminary studies demonstrated the main effect of trait (Study 1a) and primed (Study 1b) self-control on forgiveness. Three primary studies consistently supported the compensatory model in predicting willingness to forgive a partner who behaves noncooperatively in a 2-alternative prisoner's dilemma (Study 2), a continuous give-some dilemma (Study 3), and a 2-alternative maximizing difference game (Study 4). Among proselfs or those low in trait forgiveness, trait self-control positively related to forgiveness, suggesting that self-control can compensate for a lack of concern with others' well-being. Implications for theory and research on forgiveness are discussed. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2011-18819-001&site=ehost-live&scope=site"
"Role of self-control strength in the relation between anxiety and cognitive performance.","Bertrams, Alex; Englert, Chris; Dickhäuser, Oliver; Baumeister, Roy F.","Emotion",="15283542",,="20130801","13","4","668","13","2013-10203-001","10.1037/a0031921","American Psychological Association","Journal Article","Cognitive Ability; Performance Tests; Self-Control; Self-Regulation; Test Anxiety; Ego; Adulthood (18 yrs & older); Male; Female",,"In the present work, we examine the role of self-control resources within the relationship between anxiety and cognitive test performance. We argue that self-control is required for keeping attention away from anxiety-related worries, which would otherwise distract a person from performing on the test. In Study 1 (N = 67) and Study 2 (N = 96), we found that state anxiety was negatively related to performance of verbal learning and mental arithmetic if participants’ self-control resources were depleted, but it was unrelated if participants’ self-control was intact. In Study 3 (N = 99), the worry component of trait test anxiety was more strongly related to perceived distraction by worries while performing an arithmetic task for participants with depleted self-control resources than for nondepleted participants. Furthermore, distraction by worries showed to be responsible for suboptimal performance. The findings may help to clarify the anxiety–performance relationship and offer a novel approach for counteracting performance decrements associated with test anxiety. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2013-10203-001&site=ehost-live&scope=site"
"Satiated with belongingness? Effects of acceptance, rejection, and task framing on self-regulatory performance.","DeWall, C. Nathan; Baumeister, Roy F.; Vohs, Kathleen D.","Journal of Personality and Social Psychology",="00223514",,="20081201","95","6","1367","16","2008-16429-009","10.1037/a0012632","American Psychological Association","Journal Article","Motivation; Satiation; Self-Regulation; Social Acceptance; Adulthood (18 yrs & older); Male; Female",,"Seven experiments showed that the effects of social acceptance and social exclusion on self-regulatory performance depend on the prospect of future acceptance. Excluded participants showed decrements in self-regulation, but these decrements were eliminated if the self-regulation task was ostensibly a diagnostic indicator of the ability to get along with others. No such improvement was found when the task was presented as diagnostic of good health. Accepted participants, in contrast, performed relatively poorly when the task was framed as a diagnostic indicator of interpersonally attractive traits. Furthermore, poor performance among accepted participants was not due to self-handicapping or overconfidence. Offering accepted participants a cash incentive for self-regulating eliminated the self-regulation deficits. These findings provide evidence that the need to belong fits standard motivational patterns: Thwarting the drive intensifies it, whereas satiating it leads to temporary reduction in drive. Accepted people are normally good at self-regulation but are unwilling to exert the effort to self-regulate if self-regulation means gaining the social acceptance they have already obtained. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2008-16429-009&site=ehost-live&scope=site"
