Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Inhibition tasks are not associated with a variety of behaviours in college students.","Von Gunten, Curtis D.; Bartholow, Bruce D.; Martins, Jorge S.","European Journal of Personality",="08902070",,="20200501","34","3","412","19","2020-24468-001","10.1002/per.2250","John Wiley & Sons","Journal Article","Cognitive Ability; College Students; Self-Control; Student Attitudes; Executive Function; Conscientiousness; Distraction; Individual Differences; Inhibition (Personality); Self-Regulation; Self-Report; Test Validity; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Executive functions are (EF) top‐down control processes involved in regulating thoughts, ignoring distractions, and inhibiting impulses. It is widely believed that these processes are critical to self‐control and, therefore, that performance on behavioural task measures of EF should be associated with individual differences in everyday life outcomes. The purpose of the present study was to test this assumption, focusing on the core executive function facet of inhibition. A sample of 463 undergraduates completed five laboratory inhibition tasks, along with three self‐report measures of self‐control and 28 self‐report measures of life outcomes. Results showed that although most of the life outcome measures were associated with self‐reported self‐control, only one of the outcomes was associated with inhibition task performance at the latent‐variable level, and this association was in the unexpected direction. Furthermore, few associations were found at the individual task level. These findings challenge the criterion validity of lab‐based inhibition tasks. More generally, when considered alongside the known lack of convergent validity between inhibition tasks and self‐report measures of self‐control, the findings cast doubt on the task's construct validity as measures of self‐control processes. Potential methodological and theoretical reasons for the poor performance of laboratory‐based inhibition tasks are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-24468-001&site=ehost-live&scope=site"
"Internet pornography use: Perceived addiction, psychological distress, and the validation of a brief measure.","Grubbs, Joshua B.; Volk, Fred; Exline, Julie J.; Pargament, Kenneth I.","Journal of Sex & Marital Therapy",="0092623X",,="20150101","41","1","83","24","2014-49618-008","10.1080/0092623X.2013.842192","Taylor & Francis","Journal Article","Internet Addiction; Pornography; Psychometrics; Test Reliability; Test Validity; Inventories; Measurement; Psychological Stress; Adulthood (18 yrs & older); Male; Female",,"The authors aimed to validate a brief measure of perceived addiction to Internet pornography refined from the 32-item Cyber Pornography Use Inventory, report its psychometric properties, and examine how the notion of perceived addiction to Internet pornography might be related to other domains of psychological functioning. To accomplish this, 3 studies were conducted using a sample of undergraduate psychology students, a web-based adult sample, and a sample of college students seeking counseling at a university's counseling center. The authors developed and refined a short 9-item measure of perceived addiction to Internet pornography, confirmed its structure in multiple samples, examined its relatedness to hypersexuality more broadly, and demonstrated that the notion of perceived addiction to Internet pornography is very robustly related to various measures of psychological distress. Furthermore, the relation between psychological distress and the new measure persisted, even when other potential contributors (e.g., neuroticism, self-control, amount of time spent viewing pornography) were controlled for statistically, indicating the clinical relevance of assessing perceived addiction to Internet pornography. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-49618-008&site=ehost-live&scope=site"
"Low trait self‐control predicts self‐handicapping.","Uysal, Ahmet; Knee, C. Raymond","Journal of Personality",="00223506",,="20120201","80","1","59","21","2012-02123-004","10.1111/j.1467-6494.2011.00715.x","Wiley-Blackwell Publishing Ltd.","Journal Article","Personality Traits; Self-Control; Uncertainty; Human Sex Differences; Self-Esteem; Adulthood (18 yrs & older); Male; Female",,"Past research has shown that self-handicapping stems from uncertainty about one’s ability and self-presentational concerns. The present studies suggest that low dispositional self-control is also associated with self-handicapping. In 3 studies (N = 289), the association between self-control and self-handicapping was tested. Self-control was operationalized as trait self-control, whereas self-handicapping was operationalized as trait self-handicapping in Study 1 (N = 160), self-reported self-handicapping in Study 2 (N = 74), and behavioral self-handicapping in Study 3 (N = 55). In all 3 studies, hierarchical regression analyses revealed that low self-control predicts self-handicapping, independent of self-esteem, self-doubt, social desirability, and gender. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-02123-004&site=ehost-live&scope=site"
"Multiple-goal management: An examination of simultaneous pursuit of a weight-loss goal with another goal.","McKee, Heather C.; Ntoumanis, Nikos","Journal of Health Psychology",="13591053",,="20140901","19","9","1163","11","2014-36029-006","10.1177/1359105313485484","Sage Publications","Journal Article","Goal Setting; Self-Efficacy; Weight Loss; Obesity; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female",,"This study investigated the characteristics contributing to successful goal attainment of a weight-loss and a non-weight-loss goal simultaneously. Weight-loss and non-weight-loss goals, self-efficacy, persistence, temptations, intergoal interference and facilitation were measured via an online questionnaire (N = 103, Mage = 25.36 ± 6.9, 80% women). Weight-loss self-efficacy, persistence, temptations and intergoal facilitation significantly predicted weight-loss goal attainment. Those who were more successful in attaining both their goals simultaneously had higher self-efficacy and persistence and experienced less temptation towards both goals. This study provides an insight into the characteristics necessary for successful simultaneous management of a weight-loss goal with another goal. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-36029-006&site=ehost-live&scope=site"
"Passionate thinkers feel better: Self-control capacity as mediator of the relationship between need for cognition and affective adjustment.","Bertrams, Alex; Dickhäuser, Oliver","Journal of Individual Differences",="16140001",,="20120101","33","2","69","7","2012-03639-001","10.1027/1614-0001/a000081","Hogrefe Publishing","Journal Article","Emotional Adjustment; Need for Cognition; Self-Control; Self-Esteem; Self-Regulation; College Students; Major Depression; Adulthood (18 yrs & older); Male; Female",,"The present study tested a possible explanation for the positive relationship between the motivation to engage in cognitive endeavors (need for cognition, NFC) and indicators of affective adjustment (e.g., higher self-esteem, lower depression) that has been demonstrated in previous studies. We suggest that dispositional self-control capacity mediates this relationship, since NFC has been found to be related to self-control capacity, and self-control capacity is crucial for adjustment. NFC, dispositional self-control capacity, self-esteem, habitual depressive mood, and tendency to respond in a socially desirable manner were measured among 150 university students via self-report. Regression analyses and Sobel tests revealed that self-control capacity was a potential mediator of the positive relationship between NFC and affective adjustment. The findings were robust in terms of social desirability. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-03639-001&site=ehost-live&scope=site"
"Patient-level moderators of the efficacy of peer support and pager reminder interventions to promote antiretroviral adherence.","Yard, Samantha S.; Huh, David; King, Kevin M.; Simoni, Jane M.","AIDS and Behavior",="10907165",,="20111101","15","8","1596","9","2011-23578-002","10.1007/s10461-011-0001-4","Springer","Journal Article","Intervention; Peers; Self-Efficacy; Social Support; Treatment Compliance; Antiretroviral Drugs; Adulthood (18 yrs & older); Male; Female",,"Antiretroviral therapy (ART) greatly reduces morbidity and mortality for people with HIV/AIDS. However, for optimal effectiveness patients must achieve strict adherence to dosing regimens, which is difficult to maintain over the long term. Interventions to improve adherence have shown promising results, but with small effects. One explanation for small overall effects is that some patient subgroups are less able to benefit from current interventions; however, this explanation lacks empirical support. This study used multilevel modeling of data from a randomized controlled trial in an exploratory analysis to assess whether patient factors moderated the impact of peer support and pager reminders on ART adherence and biological markers of HIV. According to 272 interaction models using an alpha-corrected significance criteria, none of 34 patient characteristics significantly moderated either intervention. Findings suggest that intervention research might more profitably focus on other ways of improving effects, like individual patient needs, rather than target subgroups. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-23578-002&site=ehost-live&scope=site"
"Perpetuation of sexual objectification: The role of resource depletion.","Tyler, James M.; Calogero, Rachel M.; Adams, Katherine E.","British Journal of Social Psychology",="01446665",,="20170601","56","2","334","20","2016-43151-001","10.1111/bjso.12157","Wiley-Blackwell Publishing Ltd.","Journal Article","Attention; Sexuality; Agency; Objectification; Human Females; Self-Regulation; Adulthood (18 yrs & older); Male; Female",,"Women are sexually objectified when viewed and treated by others as mere objects. Abundant research has examined the negative consequences of being the target of sexual objectification; however, limited attention has focused on the person doing the objectification. Our focus is on the agent and how self‐regulatory resources influence sexual objectification. Consistent with prior evidence, we reasoned that people have a well‐learned automatic response to objectify sexualized women, and as such, we expected objectifying a sexualized (vs. personalized) woman would deplete fewer regulatory resources than not objectifying her. Findings across three studies confirmed our expectations, demonstrating the extent to which people objectify a sexualized woman or not is influenced by the availability of regulatory resources, a case that heretofore has been absent from the literature. These patterns are discussed in the context of the sexual objectification and self‐regulation literature. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-43151-001&site=ehost-live&scope=site"
"Professionalism: Self-control matters.","Hershberger, Paul J.; Zryd, Teresa W.; Rodes, Mary Beth; Stolfi, Adrienne","Medical Teacher",="0142159X",,="20100101","32","1","e36","6","2010-11962-026","10.3109/01421590903199676","Informa Healthcare","Journal Article","Medical Residency; Medical Students; Professionalism; Self-Control; Adulthood (18 yrs & older); Male; Female",,"Background: Many of the behaviors that constitute professionalism require self-control. Aim: To investigate the extent to which self-control is a component of resident professionalism, rated both by residents and their program directors. Methods: 366 residents in 13 residency programs were invited to participate in a survey study of professionalism. Participating residents completed the Professionalism—Documentation of Competence (ProDOC) (a 15-item measure of professionalism developed for the study), a 10-item version of the Marlowe–Crowne Social Desirability Scale, and the Brief Self-Control Scale. Independently, program directors of participating residents completed the ProDOC with reference to each of their participating residents. Results: 215 residents agreed to participate in the study (58.7% response rate). Resident ProDOC scores were significantly related to social desirability and self-control. Self-control alone accounted for approximately 25% of the variance in resident ProDOC scores, and approximately 17% of the variance in ProDOC scores when shared variance with social desirability was controlled. There was no correlation between resident and program director ProDOC scores. Conclusions: Self-control is an important facet of human behavior and interpersonal interaction, including the behaviors that constitute medical professionalism. The lack of correlation between residents’ self-ratings of professionalism and their program directors’ ratings underscores the difficulty in understanding and measuring this competency. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-11962-026&site=ehost-live&scope=site"
"Psychological and social factors as predictors of online and offline deviant behavior among Japanese adolescents.","Udris, Reinis","Deviant Behavior",="01639625",,="20170701","38","7","792","18","2017-24693-006","10.1080/01639625.2016.1197689","Taylor & Francis","Journal Article","High School Students; Student Attitudes; Antisocial Behavior; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"The rise of cyberspace and technological advancement has created new opportunities for deviant behavior. The purpose of this study was to investigate online and offline deviant behavior in a sample of high school students, as well as compare a number of theoretical frameworks for predicting deviance. Employing structural equation modeling, the findings of the study indicated that one’s normative beliefs or psychological factors are more important than social factors when it comes to deviant behavior. Attitudes toward violence, low self-control, and peer attachment were positively associated with offline deviance, while parental attachment and neighborhood attachment had negative associations. For online deviance, toxic online disinhibition and attitudes toward violence were positive predictors, while parental attachment had a negative association. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-24693-006&site=ehost-live&scope=site"
"Psychometric assessment of the Short Grit Scale among Chinese adolescents.","Li, Jingguang; Zhao, Yajun; Kong, Feng; Du, Shuailing; Yang, Suyong; Wang, Song","Journal of Psychoeducational Assessment",="07342829",,="20180601","36","3","291","6","2018-23441-009","10.1177/0734282916674858","Sage Publications","Journal Article","Psychometrics; School Environment; Student Attitudes; Test Reliability; Test Validity; Chinese Cultural Groups; Goals; Rating Scales; Adolescence (13-17 yrs); Male; Female",,"This study sought to validate the Short Grit Scale (Grit-S), an instrument that measures perseverance and passion for long-term goals, among Chinese high school students. Confirmatory factor analyses revealed that the scale retains the two-factor structure of the original scale. The scale demonstrated satisfactory internal consistency and test–retest reliability. Evidence for construct validity was found in relation to the Big Five personality traits, self-control, and IQ. Evidence for criterion validity was found via the observation that grit explained unique variance in academic performance. Together, the Grit-S is a sound measure of grit among Chinese adolescents. (PsycINFO Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-23441-009&site=ehost-live&scope=site"
